path,transcription
/kaggle/input/regspeech12/test/test_sylhet_0070.wav,ইগুত তো বেস্ তো আমি শাড়ি ফড়ছি ফড়িয়া দক্ষিণ সময় কলেজো গেছি আমার বইন াসাতি মামুগ্র বইন শাড় মামিফুরো বইন বলতে আমার বেস্ট ফ্রেন্ডো বলতে আফারো হকলেজ লাইফেরে তাই বেস্ট ফ্রেন্ড বলতে আবার তাই আমি আফরে আমরা দবোনু গেছি আর টাই আসতা তার ইস্কুল
/kaggle/input/regspeech12/test/test_narsingdi_0002.wav,তারহ তো ওই খারাপ খেইলাইা আসে না তারা ভালো ওই লিগগুলাতে ভালো খেলে ডমেস্টিকে ভালো খেলে পরেই তো ওদেরকে জাতিয়া কইরা ঢাকা হয় হ কিন্তু কী করবু ক প্লেয়ার তো আরে একটা দুইলো না প্লেয়ার তো অনেক
/kaggle/input/regspeech12/test/test_sylhet_0637.wav,তারাও কিতা যৌথনি তারাও কিতা যৌতনি এক লগে থাখোইন নি ন থাখে এখলগে আর এখজন বড় ইজন আডলা ভাসা আর ুয়া ডাক্তরআচ্ছ
/kaggle/input/regspeech12/test/test_sylhet_0227.wav,তোখান্দীখান্দি ফরীক্কা দিলাম তিয়া অয়া আইছি অখন তো শেষ আমোর ফড়া ওউ বাড়ির রাস্তা এখটা বুচ্ছোনি বাড়িত ঢুকবার এখটা রাস্তা ছিখনি ফরীক্কা দিয়া আইছি বাদে দেখি আমার বাইয়ের আ রাস্তায় গু মাটি ফালায়  মাটি ফালাইয়া আয়গুয়ে বড়ো ফরের
/kaggle/input/regspeech12/test/test_tangail_0035.wav,লাইফত পাই দুই হআজার সালে রিলিজ অয় কিন্তু আর এইডে ডিরেক্টরসলো এনডি এই ছবিটা যহন অস্কার পায় তারপরে আমি প্রথম এইডার নাম শুনছি যেযে লাইফত পাই প্রথমে ভাবছিলাম যেহেটা ম্যাথমেটিক্সের কুনু থিভিটি নিয়া হবো যেহেতু লাইফ পাই আছে আমি ভাবছি প্াইয়েট
/kaggle/input/regspeech12/test/test_narail_0103.wav,আর বুকে টুউন্নার ধরা পড়ে যেলো মানে বুকে বলতি  ভিতরে টা অপারেশন করিছো মানে অপারেশন করার কতা কয়নি নানা টুমারটায় আপন জায়গায় সেটা দর
/kaggle/input/regspeech12/test/test_rangpur_0053.wav,আর আগে টাকা হল আছিল খা তাই যাই বাজার নিয়া হাটত গেছিল আর আসছিল  আছি আল্লাহর কাছে হাজার শুকুর মোর কোনো জিনিসের ট্যাকা নাই হ সেইটায় বউ লোয়ায় সেখাাা  সেরি পোয়া
/kaggle/input/regspeech12/test/test_sylhet_0067.wav,খতা বার তে আমি নিজেরে বুঝদি খরলাম আমার ফরে এখ বছর খরলাম কিচ্ছু খানায় সামনেদি তমনে অক্ষে তাক আমি বইত আছি ফরে তারা মনে খরছে আমি বর্তি ওইতো ন অনেখদিন গেছি গি আমি বর্তি ওইছি মার্চের দশ তারিখে নাই নাগি বুঝছিছ আর বিয়া ইাইবয় র  আবিা ওইয়া গেছে ফেব্রুয়ারির বিশ তার
/kaggle/input/regspeech12/test/test_comilla_0032.wav,অর পুরা ফ্যামিলি আমাকে খুব লাইট করতো তো এখান থাকি আম চব্বিশ বৎসর ছিলাম এইখানে আমার ওইদেশের চলাফ্যারা খুব ভালো লাগছে কিন্তু অনেকে বিদেশ কষ্ট এই সেই কিন্তু আমার কাছে খুবই ভালো লাগছে
/kaggle/input/regspeech12/test/test_narail_0018.wav,তা আমরা তো খাই নাই তা আমরা খালি খালি সে য জরকারডা আমরা খাই নাই যদি ওর মাইসো তো টাকা বদি সে দিয়ে তা তাইল তোর মাইসে তো বাই খাইছি তোর মাইনসো তো বাইছেওর অবে আমরা খাই না আমরা চলছেব আমরা দশ হাজার টাকা পায়াইছে তা তো তোর মাও জানে সেন সেডা সবাই যেনা আমি সবাইরকা কাটাইছে এ তো সব মেলা দিন আগে আমরা সবাই জানে
