path,transcription
/kaggle/input/regspeech12/test/test_sylhet_0070.wav,ইগুত্ত ব্যাচ তো আমি সারি ভর্তি করি আর দক্ষিণ সুমা কলেজে গেছে আমার বৈনাশক্তি মামগুর বৈনাশক্তি মামগুর বোন বলতে আমার বেস্ট ফ্রেন্ড বলতে হবে না কলেজ লাইফের কয়েক বেস্ট ফ্রেন্ড হতে হবে তাই আমি দ্রবীণ হয়েছি আর তাই আস্তাতারী স্কুল
/kaggle/input/regspeech12/test/test_narsingdi_0002.wav,তারা দুই খারাপ ফেলে গেছে না তারা ওই লিগ গুলোতে ভালো খেলে দমেজটিকে ভালো খেলে পরেই তো ওদেরকে জাতীয় দলে ডাকা হয় হাহ কিন্তু কী করব প্লেয়ার তো আর একটা দিতে না প্লেয়ার তো অনেক
/kaggle/input/regspeech12/test/test_sylhet_0637.wav,তারাও কি তা যৌতুনি এক লোকে তাহা নিয়ে
/kaggle/input/regspeech12/test/test_sylhet_0227.wav,তো খান্দি খান্দি পরীক্ষা দিলাম টিয়াওয়া আইসি অফ্যাত সিয়া সম্মান করা ও বাড়ির রাস্তা একটা উচ্ছনে বাড়িত ডুববার একটা রাস্তা শিকন আছে পরীক্ষা দিয়ে আইসি বাদে দেখি আমার ভাইয়েরা রাস্তায় মাটি ফেলায় মাটি ফালাইয়া এগুলে বড় বড়
/kaggle/input/regspeech12/test/test_tangail_0035.wav,লাইফ অফ পাই দুই হাজার সালে রিলিজ হয় কিন্তু আর এটার ডিরেক্টর ছিল অ্যাংলি এই ছবিটা যখন অস্কার পায় তার পরে আমি প্রথমে এটার নাম শুনছি যে লাইফ অফ পাই প্রথমে ভাবছিলাম যেটা মেথমেটিক্সের কোনো থিওরিটি নিয়ে হব যেহেতু লাইফ পায় আছে আমি ভাবছি পায়ের
/kaggle/input/regspeech12/test/test_narail_0103.wav,বুকে টুর্নার দ্বারা পড়ে যান মানে বুকে বলতে ভিতরে হ্যাঁ তা অপারেশন করেছ আমরা অপারেশন করার কথা করিনি না না টিউমারটা এমন জায়গায় সেটা তোর
/kaggle/input/regspeech12/test/test_rangpur_0053.wav,আর আগে টাকা এলাচিল খায় তাই যায় বাজার নিয়ে হাঁটু দিয়ে সিল আর রাস্ত্রি আল্লাহর কাছে হাজার শুকুর মোর কোন দিকের ঠেকা নেই
/kaggle/input/regspeech12/test/test_sylhet_0067.wav,কথা করতে আমি নিজেরই বুঝতে পারলাম আমার পরে আপস করলাম কিছু করে নাই সামনে দিতে তার নাম নেওয়া হোক না তার আমি বৈদ্যাশি পরে তারা বলেছে আমি ভর্তি হন অনেক দিন গেছি কি আমি ভর্তি এসেছি মার্চের দশ তারিখে নাই বলেছি তার বিয়ার গেছে ফেব্রুয়ারির বিষয়টা
/kaggle/input/regspeech12/test/test_comilla_0032.wav,ওর পুরা ফ্যামিলি আমাকে খুব লাইক করত তো এখান থেকে আমি চব্বিশ বছর ছিলাম এখানে আমার ঐ দেশের চলাফেরা খুব ভালো লাগছে কিন্তু অনেকে বিদেশ কষ্ট এই সেই কিন্তু আমার কাছে খুবই ভালো লাগছে
/kaggle/input/regspeech12/test/test_narail_0018.wav,তা আমরা তো খাই নাই তামরা খালি খেলি সেতুর দরকার আমরা খাই নাই যদি ওর মাইসুতো টাকা দেশে দিয়ে তাহলে তোর মাইসুতো ভাই খাইতে আমরা দশ হাজার টাকা পাইছি তা তো তোর মাও জানে যেসবের টাকা পাঠাইছে এ তো সব মেলাদিন আগে আমরা সবাই জানি
/kaggle/input/regspeech12/test/test_sylhet_0047.wav,বাসার এমন তো কলেজের সময় যা রেগুলার কলেজে যা আলাকা পাইবে আর এমন তো বাসাত ধরবই না ফন্টি বাইক বাকি রান্না করার কথা
/kaggle/input/regspeech12/test/test_sylhet_0203.wav,ই যে রোদের মধ্যে দান কাটা খুব কষ্টর আছে কিছু ভয় কুটা লইয়া মুরুক আর পিতাসাদা নিয়ে আরা চাকরি আর আমি আসলাম তো পুরু আমার আসিলতা চাকরি
