path,transcription
/kaggle/input/regspeech12/test/test_sylhet_0070.wav,ইগুর তো বেস্ তো আমি শাড়ি ফড়ছি ফড়িয়া দক্ষিণ সময় কলেজো গেছি আমার বইন আসে তো মামুগ্রো বনসে তমা মুগুরু বইন বলতে আমার বেস্ট ফ্রেন্ডও বলতে ফারো কলেজ লাইফের কয় বেস্ট ফ্রেন্ড মার ফবা তাই আমি হখর মমরো দবিনো গেছি আর তাই আসতা তাইর ইস্ক
/kaggle/input/regspeech12/test/test_narsingdi_0002.wav,তারহা তো ওই খারাপ খেইলাইরা সোনা তারা ভালো ওই লিগগুলাতে ভালো খেলে ডমেস্টিকে ভালো খেলে পরেই তো ওদেরকে জাতীয় কইরা ঢাকা হয় হ কিন্তু কী করবে ক প্লেয়ার তো আরে একটা বিধে না প্লেয়ার তো অনেক
/kaggle/input/regspeech12/test/test_sylhet_0637.wav,তারাও কিতা যৌতনি তারাও কিতা যৌথন এক লগে থাখোইনিন নজনাখনাখে এখলগে আর এখজন বড়োজন আডলা তোয়া ডাকতো
/kaggle/input/regspeech12/test/test_sylhet_0227.wav,তোখান্দিখান্দি ফরীক্কা দিলাম দিয়াওয়া আইটি অখন তো শেষ আমোর ফড়া ওউ বাড়ির রাস্তা এখটা বুচ্ছোনি বাড়িত ঢুকবার এখটা রাস্তা ছিখন ি ফরীক্কা দিয়া আইছি বাদে দেখি আমার বাইয়ের আ রাস্তায় গুট মাটি নিলায়  মাটি ফালাইয়া আয়গুরে বড়ো বড়
/kaggle/input/regspeech12/test/test_tangail_0035.wav,লাইফত পাই দুই হআজার সালে রিলিজ অয় কিন্তুআর এইডে ডিরেক্টর ছলো এনডি এই ছবিটা যহন অস্কার পায় তারপরে আমি প্রথম এইডার নাম শুনছি যেে লাইফঅত পাই প্রথমে ভাবছিলাম যেহেটা ম্যাথমেটিক্সের কুনু থিরিটি নিয়া হবো যেহেতু লাইফ পাই আছে আমি ভাবছি প্রাইেট
/kaggle/input/regspeech12/test/test_narail_0103.wav,আর বুকে এটটুউন্নর ধরা পরে যেলো মানে বুকে বলতিও ভিতরে টা অপারেশন করিছো মানে অপারেশন করার কতা কয়নি নানা টুমারটা আপন জায়গায় সেটা দর
/kaggle/input/regspeech12/test/test_rangpur_0053.wav,আর আগে টাকা হল আছিল খা চাই যাই বাজার নিয়া হাটত গেছিল আর আসছিল হম টাাআছি আল্লাহর কাছে হাজায় শুকুল মোর কোনো জিনিসের ঠ্যাকা নাই ও সেইটায় বউ লোয়ায় টেকা প েরা কড়ির পোয়া
/kaggle/input/regspeech12/test/test_sylhet_0067.wav,খতা বরতে আমি নিজেরে বুঝতি খরলাম আমার ফরে এবস খরলাম কিচ্ছুখানাই সামনিদে তর ওক্খে তাম বইত আছি ফরে তারা মনে খরছে আমি বর্তি ওইতো না অনেখদিন গেছি গি আমি বর্তি ওইছি মার্চের দশ তারিখে নাই ওি বতি ফার বিয়া াবিয়ারি না তর বিয়া ওই গেছে ফেব্রুয়ারির বিশ তাি
/kaggle/input/regspeech12/test/test_comilla_0032.wav,অর পুরা ফ্যামিলি আমাকে খুব লাইট করতো তো ইখান তাকিা আম চব্বিশ বৎসর ছিলাম ইখানে আমার ওইদেশের চলাফ্যারা খুব ভালো লাগছে কিন্তু অনেকে বিদেশ কষ্ট এই সেই কিন্তু আমার কাছে খুবই ভালো লাগছে
/kaggle/input/regspeech12/test/test_narail_0018.wav,তা আমরা তো খাই নাই তা আমরা খালি খালি সে জকাডা আমরা খাই নাই যদি ওর মাইসো তো টাকা ওদিসে দিয়ে তা তালি তোর মাইসে তো বাই খাইতে তর মাইনসো তো বাইছেওর অবে আমরা খাইনা আমরা চলছে ব আমরা দশ হাজার টাকা পাওয়াইছে তা তো তোর মাও জানে সেন সেডা সবাই যেনা মি সবাইরকা কাটাইছে এ তো সব মেলা দিন আগে আমরা সবাই যান
