text,ipa
ত ো ল প া ড় ে র,t ̪ o l p ɐ ɽ e ɾ
প ড় ে ছ ি ল ে ন ।,p o ɽ e c ʰ i l e n ।
হ ি ত ে ন ্ দ ্ র ন া থ,h i t ̪ e n d ̪ ɾ o n ɐ t ̪ ʰ
দ া র ছ ি র া,d ̪ ɐ ɾ c ʰ i ɾ ɐ
ত ছ ন ছ,t ̪ ɔ c ʰ o n c ʰ o
"জ া ন া চ ্ ছ ি ,","ɟ ɐ n ɐ c c ʰ i ,"
শ া ক ি ল ।,ʃ ɐ k i l o ।
ল ো ক ই,l o k i
ড ি এ ন স ি স ি র,d i ͡ e ̯ n ʃ i ʃ i ɾ
ব া ন র ট ি,b ɐ n o ɾ t i
ঘ ু ম া ত ে,g ʱ u m ɐ t ̪ e
ল ো ড শ ে ড ি ং য় ে,l o d o ʃ e d i ŋ ʲ e
দ ি ব স,d ̪ i b ɔ ʃ
ক া ন ভ া র ি,k ɐ n b ʱ ɐ ɾ i
ছ া ত ্ র শ ি ব ি র ে র,c ʰ ɐ t ̪ ɾ o ʃ i b i ɾ e ɾ
"ভ া স া ন ী ,","b ʱ ɐ ʃ ɐ n i ,"
"ব ু ঝ ছ ে ন ,","b u ɟ ʱ c ʰ e n ,"
ব া ব া ক ে ও,b ɐ b ɐ k e ͡ o ̯
দ ু ন ি য় া য়,d ̪ u n i ʲ ɐ ʲ
গ া জ র,g ɐ ɟ o ɾ
জ য় ন া ল,ɟ ɔ ʲ n ɐ l
ব র দ া শ ত,b ɔ ɾ d ̪ ɐ ʃ ɔ t ̪
ম া ন ত ে,m ɐ n t ̪ e
হ া স ্ য ক র,h ɐ ʃ ʃ o k ɔ ɾ
ফ ্ য া শ ন,p ʰ ɛ ʃ o n
শ র ্ ম া ।,ʃ ɔ ɾ m ɐ ।
দ ফ ত র গ ু ল ো,d ̪ ɔ p ʰ t ̪ ɔ ɾ g u l o
গ ে ছ ে ন ।,g e c ʰ e n ।
ক ্ ষ ে ত ্ র ে ই,k ʰ e t ̪ ɾ e ͡ i ̯
ক ্ ষ ম া,k ʰ ɔ m ɐ
ই স ্ য ু ভ ি ত ্ ত ি ক,i s t ̪ u b ʱ i t ̪ t ̪ i k
অ ব া র,ɔ b ɐ ɾ
গ ু ল শ া ন - ব ন া ন ী - ব া র ি ধ া র া য়,g u l ʃ ɐ n - b ɔ n ɐ n i - b ɐ ɾ i d ̪ ʱ ɐ ɾ ɐ ʲ
খ া ট ি য় ে,k ʰ ɐ t i ʲ e
ব ি আ ই ড ব ্ ল ি উ ট ি এ র,b i ͡ ɐ ̯ ͡ i ̯ d ɔ b l i ͡ u ̯ t i ͡ e ̯ ɾ
চ ট ্ ট ো প া ধ ্ য া য়,c ɔ t t o p ɐ d ̪ d ̪ ʱ ɐ ʲ
ত র ম ু জ ে র,t ̪ o ɾ m u ɟ e ɾ
দ ি ত ে ও,d ̪ i t ̪ e ͡ o ̯
ক ্ ষ ত ি গ ্ র স ্ ত ে র,k ʰ o t ̪ i g ɾ o s t ̪ e ɾ
ক া ঞ ্ চ ন প ু র,k ɐ n c ɔ n p u ɾ
অ র ্ ড ।,ɔ ɾ d ।
ব া ড় া ব ে ন ।,b ɐ ɽ ɐ b e n ।
ন ি র া প ত ্ ত া হ ী ন ত া য়,n i ɾ ɐ p ɔ t ̪ t ̪ ɐ h i n ɔ t ̪ ɐ ʲ
ভ া গ ্ ন ি,b ʱ ɐ g n i
আ গ ু য় ে র ো ।,ɐ g u ʲ e ɾ o ।
চ া ক র ি ব ঞ ্ চ ি ত দ ে র,c ɐ k ɾ i b ɔ n c i t ̪ o d ̪ e ɾ
স ্ ম া র ক ল ি প ি গ ো প া ল গ ঞ ্ জ,s ɐ d ̪ o k l i p i g o p ɐ l g ɔ n ɟ
স ম স ্ য া গ ু ল ো,ʃ ɔ m o ʃ ʃ ɐ g u l o
ন ি র ্ জ া ।,n i ɾ ɟ ɐ ।
শ ি ক ্ ষ া ক ে,ʃ i k k ʰ ɐ k e
আ ম ে ল,ɐ m e l
গ ো র স ্ ত া ন ে,g o ɾ o s t ̪ ɐ n e
প ্ র ি ন ্ ট ে র ।,p ɾ i n t e ɾ ।
স ম ্ ম ে ল ক,ʃ ɔ m m e l o k
ক া র ্ য ক র,k ɐ ɾ ɟ o k ɔ ɾ
ত া - ও,t ̪ ɐ - o
র জ ন ী ত ে,ɾ ɔ ɟ o n i t ̪ e
চ ল া ফ ে র া য়,c ɔ l ɐ p ʰ e ɾ ɐ ʲ
হ া র া ল ে ও,h ɐ ɾ ɐ l e ͡ o ̯
ম ো শ ি উ র,m o ʃ i ͡ u ̯ ɾ
আ শ ্ র য় ে,ɐ s ɾ ɔ ʲ e
ন ক শ ী ক া ঁ থ া র,n o k ʃ i k ɐ ̃ t ̪ ʰ ɐ ɾ
অ ন া য় া স,ɔ n ɐ ʲ ɐ ʃ
দ য় া ম ী র,d ̪ ɔ ʲ ɐ m i ɾ
ত া হ র ি র,t ̪ ɐ h o ɾ i ɾ
র ু র া ল,ɾ u ɾ ɐ l o
ত দ ন ্ ত স া প ে ক ্ ষ ে,t ̪ ɔ d ̪ o n t ̪ o ʃ ɐ p e k k ʰ e
হ ব ে ই ।,h ɔ b e ͡ i ̯ ।
খ ে ত ু র ি ধ া ম,k ʰ e t ̪ u ɾ i d ̪ ʱ ɐ m
স া হ া য া র ্ থ ে,ʃ ɐ h ɐ ɟ ɐ ɾ t ̪ ʰ e
ব া ড় া ন,b ɐ ɽ ɐ n
"ম ি জ া ন ,","m i ɟ ɐ n ,"
ত ো র া স া ন,t ̪ o ɾ ɐ ʃ ɐ n
ক ে ন ন া,k ɛ n o n ɐ
প ে া ঁ ত া ও,p e ͡ ɐ ̯ ̃ t ̪ ɐ ͡ o ̯
এ য় া র ট ে ল ে র,e ʲ ɐ ɾ t e l e ɾ
ব ৃ দ ্ ধ ক ে,b ɾ i d ̪ d ̪ ʱ o k e
ম র ্ য া দ া র,m o ɾ ɟ ɐ d ̪ ɐ ɾ
আ ত ং ক ি ত,ɐ t ̪ ŋ k i t ̪ o
স র ্ ব ন ি ম ্ ন ।,ʃ ɔ ɾ b o n i m n o ।
ন া ম ব ে ন,n ɐ m b e n
স ্ ব া র ্ থ ক ে ই,ʃ ɐ ɾ t ̪ ʰ o k e ͡ i ̯
ব ি চ া র প ত ি,b i c ɐ ɾ p o t ̪ i
দ ি য় া,d ̪ i ʲ ɐ
ল ক ্ ষ ্ য,l o k k ʰ o
ব া ং ল া দ ে শ - ভ া র ত,b ɐ ŋ l ɐ d ̪ e ʃ - b ʱ ɐ ɾ o t ̪ o
শ ি ক ্ ষ া প ্ র ত ি ষ ্ ঠ া ন গ ু ল ো,ʃ i k k ʰ ɐ p ɾ o t ̪ i ʃ t ʰ ɐ n g u l o
জ া ন া ব ে ন ।,ɟ ɐ n ɐ b e n ।
স ভ া ক ক ্ ষ ে,ʃ ɔ b ʱ ɐ k k ʰ e
স া ল ি ম,s ɐ l i m
প ড় ে ছ ি ল া ম ।,p o ɽ e c ʰ i l ɐ m ।
য থ া র ্ থ,ɟ ɔ t ̪ ʰ ɐ ɾ t ̪ ʰ o
থ া ক ল ো,t ̪ ʰ ɐ k l o
ব র প ক ্ ষ ে র,b ɔ ɾ p o k k ʰ e ɾ
ম ি ন ে,m i n e
হ া র ম া ন,h ɐ ɾ m ɐ n
আ শ া য়,ɐ ʃ ɐ ʲ
অ ন ে ক ব া র ই,ɔ n e k b ɐ ɾ i
প ্ র ত ্ য া ব া স ন ে,p ɾ o t ̪ t ̪ ɐ b ɐ ʃ n e
ম ি চ ে ল,m i c e l
ব ে হ া ল,b e h ɐ l
অ ভ ি,o b ʱ i
প ্ র থ ম দ ি ন,p ɾ o t ̪ ʰ o m d ̪ i n
অ ্ য া ম ্ ব ু ল ে ন ্ স ে,ɛ m b u l e n s e
ল ে খ ক ক ে,l e k ʰ ɔ k k e
ন ি উ ই য় র ্ ক ে র,n i ͡ u ̯ i ʲ o ɾ k e ɾ
ব ি ড ি ও,b i d i ͡ o ̯
জ ড় ি ত,ɟ o ɽ i t ̪ o
অ র ্ থ ড ক ্ স,ɔ ɾ t ̪ ʰ o d o k ʃ o
ক া প ে র,k ɐ p e ɾ
ত া হ ে,t ̪ ɐ h e
প ্ র া ঙ ্ গ ণ,p ɾ ɐ ŋ g o n
উ দ ্ দ ি ন ে র,u d ̪ d ̪ i n e ɾ
ল া র া,l ɐ ɾ ɐ
ব া ল ো ত ে ল ্ ল ি র,b ɐ l o t ̪ e l l i ɾ
ঘ ট ে ছ ি ল,g ʱ o t e c ʰ i l o
প া র ছ ে ন,p ɐ ɾ c ʰ e n
য ু ক ্ ত র া জ ্ য ে ও,ɟ u k t ̪ o ɾ ɐ ɟ ɟ e ͡ o ̯
ট ে প,t e p
ব ো র ্ ন ম া উ থ ।,b o ɾ n o m ɐ ͡ u ̯ t ̪ ʰ ।
ই ত ্ য া দ ি ।,i t ̪ t ̪ ɐ d ̪ i ।
"ন ি ,","n i ,"
স ্ ব া ধ ী ন,ʃ ɐ d ̪ ʱ i n
ভ া গ া ড়,b ʱ ɐ g ɐ ɽ
"উ প ব ৃ ত ্ ত ি ,","u p o b ɾ i t ̪ t ̪ i ,"
ই জ া র া দ া র,i ɟ ɐ ɾ ɐ d ̪ ɐ ɾ
জ া ম া ত,ɟ ɐ m ɐ t ̪
ন ু র,n u ɾ
প ্ র ভ া ব শ া ল ী র,p ɾ o b ʱ ɐ b ʃ ɐ l i ɾ
ঝ া ল ক া ঠ ি,ɟ ʱ ɐ l k ɐ t ʰ i
ক ল ে জ,k ɔ l e ɟ
ম া হ ব ু ব উ দ ্ দ ি ন,m ɐ h o b u b u d ̪ d ̪ i n
হ ু ম ক ি ত ে,h u m k i t ̪ e
ম জ ি দ ।,m o ɟ i d ̪ ।
ক া ল া ম প ু র,k ɐ l ɐ m p u ɾ
ম স ্ ত ি ষ ্ ক,m ɔ s t ̪ i ʃ k o
দ ম ক ল,d ̪ ɔ m k ɔ l o
ব ্ য ব হ া র ক া র ী র,b ɛ b o h ɐ ɾ k ɐ ɾ i ɾ
ম ো ল ্ য া,m o l ɛ
স ্ ট ্ র া ট ে জ ি ক,s t ɾ ɐ t e ɟ i k
ব ড় ধ ু ল,b ɔ ɽ d ̪ ʱ u l
র ে ট ি ং য় ে র,ɾ e t i ŋ ʲ e ɾ
ধ া ই র খ া ত া,d ̪ ʱ ɐ ͡ i ̯ ɾ k ʰ ɐ t ̪ ɐ
র ু জ ু,ɾ u ɟ u
"ব া ড় ি ঘ র ,","b ɐ ɽ i g ʱ ɔ ɾ ,"
ঘ ো প,g ʱ o p
স ্ ল ি প া র,s l i p ɐ ɾ
ম ি উ জ ি য় া ম,m i ͡ u ̯ ɟ i ʲ ɐ m
শ হ ী দ ।,ʃ o h i d ̪ ।
চ ী ন ও,c i n o
ব য় ে,b ɔ ʲ e
গ ু ণ া ব ল ি,g u n ɐ b o l i
স দ র প ু র,ʃ ɔ d ̪ o ɾ p u ɾ
ক র ত ে ।,k o ɾ t ̪ e ।
র া জ ন ী ত ি ব ি দ,ɾ ɐ ɟ n i t ̪ i b i d ̪
ধ র ে র,d ̪ ʱ ɔ ɾ e ɾ
গ ে ম স,g e m o ʃ
প ে - স ্ ক ে ল,p e - s k e l
হ া স ম ত,h ɐ ʃ m ɔ t ̪
এ ল ি জ ে ব ল,e l i ɟ e b ɔ l
প ্ র ো ড া ক ্ ট,p ɾ o d ɐ k t
অ প ম া ন ে,ɔ p o m ɐ n e
স া র ্ ভ া র ে,ʃ ɐ ɾ b ʱ ɐ ɾ e
হ া ব ্ র ে,h ɐ b ɾ e
ল স এ ঞ ্ জ ে ল স ে,l ɔ ʃ e n ɟ e l ʃ e
অ গ ্ র া ধ ি ক া র প ্ র া প ্ ত,ɔ g ɾ ɐ d ̪ ʱ i k ɐ ɾ p ɾ ɐ p t ̪ o
দ ি ঘ ল দ ি,d ̪ i g ʱ ɔ l d ̪ i
ম ি থ ু ন ে র,m i t ̪ ʰ u n e ɾ
স ে ন ্ ট ।,s e n t ।
ন া ত ি - ন া ত ন ি র া,n ɐ t ̪ i - n ɐ t ̪ o n i ɾ ɐ
স ম ত ু ল ্ য ।,ʃ ɔ m o t ̪ u l l o ।
ক ৌ ত ূ হ ল ে র,k o ͡ u ̯ t ̪ u h ɔ l e ɾ
ব র ্ ষ ে,b ɔ ɾ ʃ e
ম ন ন শ ী ল ত া ।,m o n o n o ʃ i l o t ̪ ɐ ।
স ্ ব া স ্ থ ্ য ক ্ য া ম ্ প ল ক ্ ষ ্ ম ী প ু র,ʃ ɐ s t ̪ ʰ o k ɛ m p l o k k ʰ i p u ɾ
"ম ন ি র ু জ ্ জ া ম া ন ,","m o n i ɾ u ɟ ɟ ɐ m ɐ n ,"
প া র ভ া ঙ ্ গ ু ড় া,p ɐ ɾ b ʱ ɐ ŋ g u ɽ ɐ
ন া র ী র,n ɐ ɾ i ɾ
শ ং স য়,ʃ ɔ ŋ ʃ ɔ ʲ
স ্ ট ্ য া ট া স ে,s t ɐ t ɐ ʃ e
ক ো প া ন ো,k o p ɐ n o
"উ ৎ প া দ ন ,","u t ̪ p ɐ d ̪ o n ,"
অ ল ক,ɔ l o k
"ব ি দ ে শ ী ,","b i d ̪ e ʃ i ,"
ব া ড় ত ে,b ɐ ɽ t ̪ e
স ম া ল ো চ ন া ই,ʃ ɔ m ɐ l o c ɔ n ɐ ͡ i ̯
গ ো ল া ব া র ু দ,g o l ɐ b ɐ ɾ u d ̪
ড ি ন ।,d i n ।
ক ন ্ ট ্ র া ক ্ ট,k o n t ɾ ɐ k t
শ ি য় া - স ু ন ্ ন ি,ʃ i ʲ ɐ - s u n n i
ক ি ব ো র ্ ড ে র,k i b o ɾ d e ɾ
ক ু ল া স া র,k u l ɐ ʃ ɐ ɾ
ই উ এ স - ব া ং ল া,i ͡ u ̯ e ʃ ɔ - b ɐ ŋ l ɐ
স ো স া ই ট ি ।,ʃ o ʃ ɐ ͡ i ̯ t i ।
হ ক া র র া ।,h ɔ k ɐ ɾ ɾ ɐ ।
জ ী ব ন ে র,ɟ i b ɔ n e ɾ
হ ি ন ্ দ ি ত ে,h i n d ̪ i t ̪ e
র ক ্ ত চ া প,ɾ ɔ k t ̪ o c ɐ p
ন ন ্ দ ী,n o n d ̪ i
ভ া উ চ া র ।,b ʱ ɐ ͡ u ̯ c ɐ ɾ ।
গ ু ন া র ত ে œ ।,g u n ɐ ɾ t ̪ e ।
স র ক া র ি,ʃ ɔ ɾ k ɐ ɾ i
শ া খ া য়,ʃ ɐ k ʰ ɐ ʲ
স ু ব ি ধ া ভ ো গ ী র া,ʃ u b i d ̪ ʱ ɐ b ʱ o g i ɾ ɐ
ম ি ঠ া প ু ক ু র,m i t ʰ ɐ p u k u ɾ
‘ প থ চ ল া,‘ p ɔ t ̪ ʰ o c l ɐ
স া হ ি ত ্ য চ র ্ চ া র,ʃ ɐ h i t ̪ t ̪ o c ɔ ɾ c ɐ ɾ
দ ো স র র া,d ̪ o ʃ ɾ ɔ ɾ ɐ
আ ফ ্ র ি ক া ন,ɐ p ʰ ɾ i k ɐ n
ফ র া জ ী র,p ʰ ɔ ɾ ɐ ɟ i ɾ
স ্ প া ই স া র,s p ɐ ͡ i ̯ ʃ ɐ ɾ
দ ৈ র ্ ঘ ্ য,d ̪ o ͡ i ̯ ɾ g ʱ o
ড া ক ল ে ই,d ɐ k l e ͡ i ̯
গ ি য় ে ছ ি ল ে ন ।,g i ʲ e c ʰ i l e n ।
শ ু ট া র গ া ন,ʃ u t ɐ ɾ g ɐ n
অ র ্ ধ শ ত,ɔ ɾ d ̪ ʱ o ʃ ɔ t ̪ o
অ র ু ণ ে র,o ɾ u n e ɾ
দ ে খ ে ছ ে,d ̪ e k ʰ e c ʰ e
স ী ত া ক ু ণ ্ ড,ʃ i t ̪ ɐ k u n d o
শ ফ ি উ ল,ʃ o p ʰ i ͡ u ̯ l
উ প া র ্ জ ন ক ্ ষ ম,u p ɐ ɾ ɟ o n k k ʰ o m
ন স ি ম ন - ক র ি ম ন,n o ʃ i m o n - k o ɾ i m ɔ n
র ো ব ট স ঙ ্ গ ী,ɾ o b t ʃ ɔ ŋ g i
য া চ ্ ছ ি ল,ɟ ɐ c c ʰ i l o
ব ্ র ি জ গ ু ল ো র,b ɾ i ɟ g u l o ɾ
ব ক র া,b ɔ k ɾ ɐ
"শ ত ্ র ু ,","ʃ o t ̪ ɾ u ,"
জ ন ্ ম দ ি ন ে র,ɟ ɔ n m o d ̪ i n e ɾ
ব ো ঝ া র,b o ɟ ʱ ɐ ɾ
হ া ক া ল ু ক ি,h ɐ k ɐ l u k i
ম ে র া জ,m e ɾ ɐ ɟ
জ ো ক ো ভ ি চ ।,ɟ o k o b ʱ i c ।
জ া ত ী য় / স ্ ব া ধ ী ন ত া র,ɟ ɐ t ̪ i ʲ o / ʃ ɐ d ̪ ʱ i n ɔ t ̪ ɐ ɾ
ড ে ড ব ড ি,d e d b ɔ d i
খ ল ি ল,k ʰ o l i l
ম ্ য া জ ি ক ে র,m ɛ ɟ i k e ɾ
ত ্ র া ণ,t ̪ ɾ ɐ n
য া ও য় া ক ে,ɟ ɐ ͡ o ̯ ʷ ɐ k e
অ ভ ি ন য় ও,o b ʱ i n ɔ ʲ o
অ ত র ্ ক ি ত ভ া ব ে,ɔ t ̪ ɔ ɾ k i t ̪ o b ʱ ɐ b e
জ া জ,ɟ ɐ ɟ
দ ল ট ি ক ে,d ̪ o l t i k e
ম ক ন ্ দ প ু র - স া ট ি য় া জ ু র ী,m ɔ k o n d ̪ o p u ɾ - ʃ ɐ t i ʲ ɐ ɟ u ɾ i
হ া ব ি ব,h ɐ b i b
র ি জ ল ভ,ɾ i ɟ ɔ l ɔ b ʱ
প ব া র,p ɔ b ɐ ɾ
এ স ি ড,e ʃ i d
ধ া ন ে র,d ̪ ʱ ɐ n e ɾ
স ি স ্ ট ে ম ে ও,ʃ i s t e m e ͡ o ̯
আ দ ন া ন ।,ɐ d ̪ o n ɐ n ।
ব ো য় া ল ম া র ী,b o ʷ ɐ l m ɐ ɾ i
দ ম ন ে ' র,d ̪ ɔ m o n e ' ɾ
আ ন ্ স ে ল ো ত ্ ত ি র,ɐ n s e l o t ̪ t ̪ i ɾ
ন ি য় ো জ ি ত,n i ʲ o ɟ i t ̪ o
"ট ু ট ু ল ,","t u t u l ,"
চ ি ক ি ৎ স া র ্ থ ে,c i k i t ̪ ʃ ɐ ɾ t ̪ ʰ e
ম হ া স চ ি ব ে র,m ɔ h ɐ ʃ o c i b e ɾ
স ি ম ে ন ্ ট ে র,ʃ i m e n t e ɾ
য ত ই,ɟ ɔ t ̪ o ͡ i ̯
ম ু দ ি,m u d ̪ i
শ ত ্ র ু প ক ্ ষ ।,ʃ o t ̪ ɾ u p o k k ʰ o ।
উ ৎ প ল ে র,u t ̪ p ɔ l e ɾ
ত ্ ব ক ে র ও,t ̪ ɔ k e ɾ o
ত র ু ণ ী ।,t ̪ o ɾ u n i ।
ত র ্ প ণ,t ̪ ɔ ɾ p o n
স ু ই চ,ʃ u ͡ i ̯ c
প া ল ন ক া ল ে,p ɐ l o n k ɐ l e
প ্ র ক ্ র ি য় া ।,p ɾ o k ɾ i ʲ ɐ ।
স া ম ্ প ্ র দ া য় ি ক ত া,ʃ ɐ m p ɾ o d ̪ ɐ ʲ i k ɔ t ̪ ɐ
ব ্ য া ক র ণ ই,b ɛ k ɔ ɾ o n i
চ া চ া ক ে,c ɐ c ɐ k e
ই ম ন,i m o n
ম া ক র ি,m ɐ k ɾ i
স ্ ব া গ ত,ʃ ɐ g ɔ t ̪ o
এ ছ া ড় া,e c ʰ ɐ ɽ ɐ
স ি দ ী প,ʃ i d ̪ i p
অ র ূ প,ɔ ɾ u p
ব হ ি র া গ ত,b o h i ɾ ɐ g ɔ t ̪ o
প া ল ্ ট ে ছ ে ন ।,p ɐ l t e c ʰ e n ।
দ ে খ া শ ো ন া,d ̪ e k ʰ ɐ ʃ o n ɐ
স ে ন ্ য র া,s e n e ɾ ɐ
র ই ছ,ɾ o ͡ i ̯ c ʰ o
র া স ্ ত া র,ɾ ɐ s t ̪ ɐ ɾ
ঘ ট ন া ।,g ʱ ɔ t o n ɐ ।
অ ন ্ য দ ে র,ɔ n n o d ̪ e ɾ
হ া জ ি র া,h ɐ ɟ i ɾ ɐ
র া ত া র গ ু ল,ɾ ɐ t ̪ ɐ ɾ g u l
খ ো দ ে জ া ক ে,k ʰ o d ̪ e ɟ ɐ k e
ও ক া ল ত ি,o k ɐ l o t ̪ i
ন ত ু ন ম া ট ি,n o t ̪ u n m ɐ t i
ধ া র া ভ া ষ ্ য ক া র দ ে র,d ̪ ʱ ɐ ɾ ɐ b ʱ ɐ ʃ ʃ o k ɐ ɾ d ̪ e ɾ
"জ া ম া ই ,","ɟ ɐ m ɐ ͡ i ̯ ,"
ম র ি য় ম ে র,m o ɾ i ʲ o m e ɾ
ম ো ছ া,m o c ʰ ɐ
ভ ূ ঁ ই য় া,b ʱ u ̃ i ʲ ɐ
অ জ ি উ ল ্ ল া হ,ɔ ɟ i ͡ u ̯ l l ɐ h
প ে ন া ল ্ ট ি র,p e n ɐ l t i ɾ
আ ব া স ি ক,ɐ b ɐ ʃ i k
প ্ র স ্ ত া ব ।,p ɾ o s t ̪ ɐ b ।
প ু ল,p u l
দ খ ল দ া র র া,d ̪ ɔ k ʰ o l d ̪ ɐ ɾ ɾ ɐ
উ ড় া ল,u ɽ ɐ l
চ ু ল া য়,c u l ɐ ʲ
হ ব ে,h ɔ b e
ম ্ য া স ন ।,m ɛ ʃ o n ।
ক ো ট া র,k o t ɐ ɾ
ন া হ া র,n ɐ h ɐ ɾ
ব ্ য া গ ে,b ɛ g e
আ র ি য় া ন ও ।,ɐ ɾ i ʲ ɐ n o ।
খ ো ল া স া,k ʰ o l ɐ ʃ ɐ
স া ন ্ ত া,ʃ ɐ n t ̪ ɐ
র ক ্ ত ণ া ল ি,ɾ ɔ k t ̪ o n ɐ l i
ম ি জ ি,m i ɟ i
