path,transcription
/kaggle/input/regspeech12/test/test_sylhet_0070.wav,এগুত্বব্যচত আমি সারি পরে পরে দক্ষিণ সময কলা যোকে চাম বইন মঙ্গল বন বলতে আমার বেস্ট মানে কলা বলাকা ব্যস্ত তাই আমি গেছি তাই আস্তা থাকি
/kaggle/input/regspeech12/test/test_narsingdi_0002.wav,ই খারাপ ফেলাই আছে না তারা ওই লিগগুলোতে ভালো খেলে ডমেস্টিকে ভালো ফেলে পরেই তোদেরকে জাতীয়দরে ডাকা হ প্লেয়ারত়র একটা দিতেনা প্লের
/kaggle/input/regspeech12/test/test_sylhet_0637.wav,তার তা যৌথ নে তারা কিতা যৌথ নি একলগে তাহি হা
/kaggle/input/regspeech12/test/test_sylhet_0227.wav,তো কান্দি কান্দি পরীক্ষা দিলাম পিয়াউইয়ার আইসি কত সেরা সামার পরা ও বাড়ির রাস্তা একটা উছ নে বাড়ির ঢুকবার একটা রাস্তার সিকলাত্রি পরীক্ষা দি আইসি বাদে দেখি আমার বায়েনা রাস্তায় গুটমাটিল মামাটি ফালাইয়া আগে বল করে
/kaggle/input/regspeech12/test/test_tangail_0035.wav,২০০০ সালে রিলিজয়কিন রেডিমেট ছিল অ্যানডি এই ছবিটা যখন অস্কার পায় তার পরে আমি প্রথম এডার নাম শুনছি লাই ফোর্ট পাই প্রথমে বাবছিলাম যেটা ম্যাটম্যাটিকসের কোনো ঠিকিটিকনিয়া হব যেহেতু লাইফ পাই আছে অ্যাম্বপা়এর
/kaggle/input/regspeech12/test/test_narail_0103.wav,করে মানে বুকে বলতি ভিতরে অপারেশন করিছো নবারেশন করার কথা কহনিটুমারটা এমন জায়গায় সেটা দল
/kaggle/input/regspeech12/test/test_rangpur_0053.wav,আগে টেকা আলা খাই ঝাই বাগানে হাট ছিল রাত্রে ভরে রা আল্লাহর কাছে হাজার শুকুর মোর কোনো দিকে টেকা যার বাজার না
/kaggle/input/regspeech12/test/test_sylhet_0067.wav,তে আমি নিজেরে বুঝলে লামার ফরা বস খরলাম নে পরে তারা মনে সেম বর্তি তো নলেদিন গেছি কি আমি মার্চের ১০তারিবিআয় গেছে ফেব্রুয়ারির
/kaggle/input/regspeech12/test/test_comilla_0032.wav,অর পুরা ফেমিলি আমাকে খুব লাইক করত এখান থেকে আমি ২৪ বৎসর ছিলাম এইখানে আমার ওই দেশের চলাফেরা খুব ভালো লাগছে কিন্তু অনেকে বিদেশ কষ্ট এই সেই কিন্তু আমার কাছে খুবই ভালো লাগছে
/kaggle/input/regspeech12/test/test_narail_0018.wav,তা আমরা তো খাই নেতা আমরা খানে খানে রা খাই না যদি ওর মাসে তে টাকা দেশে দিয়োতামাসে তোবা খাইছি তো মাসে তো বাইছুমরা খাই মরা১০হাার টাকা পাইছে তা তর মা ও জানে সেটা সবাই যেন সবার এতো সব মেলাদিন আগে আমরা সবাই
/kaggle/input/regspeech12/test/test_sylhet_0047.wav,খোলা যে বাজারগুলা গুলো যে যা লাগে পাইবে বাসার দই নেট টানি পিটি পিসি
/kaggle/input/regspeech12/test/test_sylhet_0203.wav,রুজের মাঝে দানগাঁটা দান কাটা খুব কষ্ট আছে কুটালইয়ামুরুব আর টেখা দানেই আর চাকরি ফুরু আমার শিলতাচাকরি কাকা যদি একবার তা বিদা আর
