path,transcription
/kaggle/input/regspeech12/test/test_sylhet_0070.wav,বিগত ব্যস্তত আমি সারি ভর্তি করিয়া দক্ষিণ শ্রমা কলেজে গেছে আমার বোয়েনের সাথে মঙ্গুরা বোন বলতে আমার বেস্ট ফ্রেন্ড বলতে আমার কলেজ লাইফের তাই বেস্ট ফ্রেন্ড হতে হবে তাই আমি হারানো আমরা দ্রবীভূতির চেয়ে তাই আস্থা থাকিস
/kaggle/input/regspeech12/test/test_narsingdi_0002.wav,তারা তো ওই খারাপ ফেলে গেছে না তারা ওই লিগগুলোতে ভালো খেলে দমেজটিকে ভালো খেলে পরেই তো ওদেরকে জাতীয় দলে ডাকা হয় হাহ কিন্তু কী করব প্লেয়ার তো আর একটা দিতে না প্লেয়ার তো অনেক
/kaggle/input/regspeech12/test/test_sylhet_0637.wav,তারাও কি তা যৌতনী এক লোকে তা হয়নি
/kaggle/input/regspeech12/test/test_sylhet_0227.wav,তো কান্দি কান্দি পরীক্ষা দিলাম টিয়াওয়া আইটি অফনতো শেয়ার সামার করা ও বাড়ির রাস্তা একটা অর্থাৎ বাড়ির ডুববার একটা রাস্তা স্থিকোণ আছে পরীক্ষা দিয়ে আইটি বাদে দেখি আমার ভাইয়েরা রাস্তায় মাটি পালাইয়া আসবে বড় হবে
/kaggle/input/regspeech12/test/test_tangail_0035.wav,লাইফ অফ পাই দুই হাজার সালের রিলিজ হয় কিন্তু আর এটার ডিরেক্টর ছিল অ্যাংলি এই ছবিটা যখন অস্কার পায় তার পরে আমি প্রথমে এটার নাম শুনছি যে লাইফ অফ পাই প্রথমে ভাবছিলাম যেটা মেথমেটিক্সের কোনো থিওরিটি নিয়ে হব যেহেতু লাইফ পায় আছে আমি ভাবছি পায়ের
/kaggle/input/regspeech12/test/test_narail_0103.wav,বুকে টুইনার দ্বারা পড়ে গেল মানে বুকে বলতেই ভিতরে তা অপারেশন করিস তো আমরা অপারেশন করার কথা কয়েনি না না টিউমারটা এমন জায়গায় সেটা দৌড়িয়েছে
/kaggle/input/regspeech12/test/test_rangpur_0053.wav,আর আগে টাকাওয়াল আছিল তাই যাই বাজার নিয়ে হাঁটুত গিয়েছিলে রাত্রি ভোর করে একটা আল্লাহর কাছে হাজার শুকুর মোর কোনো দিন যে ঠেকা নেই
/kaggle/input/regspeech12/test/test_sylhet_0067.wav,কথা করতে আমি নিজেরই বুঝতে পারলাম আমার পরে আপত্তি করলাম কিছুক্ষণের সামনে যেতে হবে না আমি বৈধ আছি পরে তারা বলেছেন বর্ধিত অনেক দিন গেছে কি আমি বর্ধিত মার্চের দশ তারিখে নাই মেরে যাব তার বিয়াই হচ্ছে ফেব্রুয়ারির বিয়ায়
/kaggle/input/regspeech12/test/test_comilla_0032.wav,ওর পুরা ফ্যামিলি আমাকে খুব লাইক করত তো এখান থেকে আমি চব্বিশ বছর ছিলাম এখানে আমার ঐ দেশের চলাফেরা খুব ভালো লাগছে কিন্তু অনেকে বিদেশ কষ্ট এই সেই কিন্তু আমার কাছে খুবই ভালো লাগছে
/kaggle/input/regspeech12/test/test_narail_0018.wav,তা আমরা তো খাই নাই চামড়া খালি খেলি সে যে দরকার আমরা খাই নাই যদি ওর মাইসিতো টাকা যদি সে দিয়ে তাই তোর মাইসিতো ভাই খাইছি আমরা দশ হাজার টাকা পাইছি তা তোর মাও জানে সেটা সবাই জানে আমি সবাই রাখি এত সব বেলার দিন আগে আমরা সবাই জানি
/kaggle/input/regspeech12/test/test_sylhet_0047.wav,বাসার আমি তো কলেজের সময় যারা এগুলোর কলেজে যার আগে পাইবে হার আমি তো বাসার দেবই না পঞ্চায়েতে রান্নাবার হবে কি লাগিতে পারেন একটু পাঠি এক বিটারে একটি বিরক্ত ব্যক্তিকে এলেন আমরা রে
/kaggle/input/regspeech12/test/test_sylhet_0203.wav,কি সেগুলির মধ্যে ধান কাটা ধান কাটা খুব কষ্টর আছে কিছুক্ষণ কুটা লইয়া মুড়ুক আর দেখাদানি আর চাকরি আমি আসলাম তো পুরু আমার আত্মীরতা চাকরি আসে না যদি একবার না দিতাম
/kaggle/input/regspeech12/test/test_chittagong_0166.wav,আজ রাজবপিরান ভূঁইয়া শিলা না যায় ডিজাইনা ব্র্যান্ডের কার বিয়ে দোলনরর তারা নতুন ব্যান্ড যে না তারা ছাত বৈন্দু থাকে তাহলে পরে দেয় দোলনের বিয়ে নামেন নি তো দোলনের বিয়ার কি
/kaggle/input/regspeech12/test/test_narail_0155.wav,ডাক্তারদায়কে রিফোন করে দুটি তুলে মাস্টার লাগবে
/kaggle/input/regspeech12/test/test_habiganj_0060.wav,কিন্তু তুলু দুয়েরা উত্তর্থ হয় তানি তারে একটা দিলে দশটা দিব আর আমার তুলু ভাইটা তো আমারের
/kaggle/input/regspeech12/test/test_habiganj_0033.wav,আচ্ছা তোমার গান্ধাটা না নিয়ে এখন হোলসেনটি ত্যাগ করতে পারো
/kaggle/input/regspeech12/test/test_rangpur_0065.wav,কিন্তু কাকে খুলে দেবে না কিন্তু কাকে দেখেছিলাম না
/kaggle/input/regspeech12/test/test_sylhet_0113.wav,আমার তো খালা জামাইও আছিলেন তাই রুগী হবার মানুষ আছে তারা দোয়ালা জেলায় দিনুস বলা চলে তা কত সুস্থ হবে তাহলে আমরা আসতে একটু কষ্ট হবে বুঝছি ও আয় আল্লাহ দিবে নে কষ্ট করতেছেন ফল পাইবেন
/kaggle/input/regspeech12/test/test_kishoreganj_0185.wav,আমি তোমার বানান আমি তোমার বানান আমি তোমার বানান তার কোথা থেকে এলো তোল দিয়ে হল
/kaggle/input/regspeech12/test/test_sylhet_0248.wav,দিদিলালা দিয়া তখন পড়িয়া খেতে হইল ও তাড়াতাড়ি একটা জবাব দেওয়া তখন দায়িত্বের মাঝে পড়ে গেছে বাইরের মাধ্যমান রক্ষা করা ও করতাম পড়তে পড়তে আমার টার্গেটা তিনি দেন তাই হোক মিনিমাম ফাস্ট ক্লাসটা কেন থাকে
/kaggle/input/regspeech12/test/test_sylhet_0482.wav,বালুচের রাখি এইখানে আমার কারণ মানে চলাচ্ছে আমার আমি একটু অসুস্থ মানুষ হচ্ছি আমার একটা সমস্যা হয়েছিল ম্যান দেবীওয়ার হরে এগাছি সমস্যা বেশি হয়েছে ও কারণে একটু জায়গা ফলটা নেই নিজের বাসার তাকে একটু দূর হইতে থাকা তারপরেও তো বুঝলাম না কিছুটা বাবা নিজের তো ভবিষ্যৎ করার লাগিয়াই নেই একটু নিজের বাসা রাখলে কিন্তু বাড়াটা হার আমি কেন বুঝলে হয়নি আমার সমস্যার লেখে আপনার কয়েকজন বার্জার বাচ্ছা এরাও যেনি
/kaggle/input/regspeech12/test/test_sylhet_0236.wav,তোর পিতা ইচ্ছা তো আমি হইলাম নেতার তো হূর্তে আপনারার ইচ্ছা আপনারা দিলাইলে তো দিলাইবা কিন্তু আমি করতাম আমার করার ইচ্ছা আছে
/kaggle/input/regspeech12/test/test_sylhet_0391.wav,ভাড়াটি আন্টি
/kaggle/input/regspeech12/test/test_narail_0136.wav,আমার মা দুই বছর ইন্ডিয়াতে বেড়াবে আর দুই বছর আমি যাব দুই বছর যাই আমি কাগজপত্র রেডি তার পক্ষে মারে নিয়ে যাব কোন দেশে যাব ইতালি ইউরোপে যেকোনো দেশে ঢোকার ইত্যাদ ইতালি জার্মানি
/kaggle/input/regspeech12/test/test_sylhet_0097.wav,সুবিশ যে তোর আমার মা এটা তো হয়ে বাহিরে যাওয়া নেই কাম করিয়াই তো হয় আর বিদেশ ভাব
/kaggle/input/regspeech12/test/test_habiganj_0103.wav,এখানে হোস্টেলের বাদে বিভিন্ন মানুষের যে আঞ্চলিকভাবে সংখ্যা তাকাইয়েরার কেবল চোখে রেহ ক্যাচ হিসেবে তো ভালোই লাগে এরার কথাগুলো আমার হাতে আমার বাসার বালা লাগে আর কেউ বাসা বালা লাগে না আর সিলেটের বাসা বালা লাগে আজ কেউ বাসার কোথাও বালা লাগে না
/kaggle/input/regspeech12/test/test_sylhet_0576.wav,আর দিবা গত ঈদ প্ল্যান গেল গত ঈদ হত কিন্তু আসেছিল
/kaggle/input/regspeech12/test/test_sylhet_0481.wav,বই নিয়ে আমরা লোকে মাতিয়া ভিন্ন একটি জিনিসপতি করার রাস্তার অবস্থা করা মানে শক্তিশালী কোম্পানি মানে ম্যানুষিকাল বুধ রাইতেছি
/kaggle/input/regspeech12/test/test_narail_0083.wav,কালিয়াস পাকাবে কালিয়া বললাম না তিন চার দিন এ জায়গায় থাকবা নে তাই হ্যাঁ মানে মানে বলতে যত উত্তরের দায়িত্ব পান না
/kaggle/input/regspeech12/test/test_sylhet_0042.wav,প্রতিবেশ করে অনেক টাকা লাগে দূর করে যাওয়ার অনেক টাকা লাগে আমার কি যে সমস্যা কি ডাইনাস
/kaggle/input/regspeech12/test/test_sylhet_0148.wav,কৃত্রাস্তুকে বলা প্রতিম ন্যায় আপনারা কিনা নেই কিনা করিনি আপনার বাবার বাড়ি নিয়ে বাবার বাড়ি হৃৎপান হৃপগঞ্জ তো খারাপ আছে তো বাবার বাড়ির কে কে আছে
/kaggle/input/regspeech12/test/test_sylhet_0622.wav,আমি কয়েক দুই কিছু থেকে নিয়ে আর যথারীতির লাইনে অনলাইনে খামার নিলে অন্তত নাই তার স্বাক্ষর হিসেবে প্রভাব রাখবে
/kaggle/input/regspeech12/test/test_sylhet_0208.wav,হুতা ফারণে গো হুতা ফারণে গো বাপিরা হইত নাগায়তা মাতিও নাগো তার বায়ের জেদাইরে পড়াইত তাই এসেসি ফাঁস করলে পরে দিয়া দিব গৌতম মানুষ হয়তো ও একটি ফাঁস হলা ওটা সিল টার্গেট এসেসি ফার্স্ট টার্গেট করে দেয়নি
/kaggle/input/regspeech12/test/test_habiganj_0028.wav,নির্মল তাহে পূজাপূজা তৃতীয়বালয় নিয়ম কিন্তু নিরামিষ খাইয়া ঈদেয়ন নিরামিষ খাইয়া দিলের বালা আমরা তো মাসের মাঝে দুইটা একাদশী করি ইটার মাঝে একদিন তো উপাস থাকি সারাদিন ফল উল্ষাইয়া পড়ি এরপরে পরের দিন নিরামিষ খায় এরপরে আবার এমন পূজাও যা হইলে আরও কত পূজা আছে না নিতা তো উপাস থাইকে নিরামিষ খাইয়া পূজা দেওয়া লাগে
/kaggle/input/regspeech12/test/test_sylhet_0559.wav,স্যার দেখিয়েছে উপজেলার কোন অনুষ্ঠান হলেও দিক দিয়া সাউন্ডাহিন্ড কিন্তু কেউ পুরা বুঝা যায় নাই
/kaggle/input/regspeech12/test/test_sylhet_0514.wav,কী কখন যাই কিন্তু তারা প্রস্তাবও তারা করেনি
/kaggle/input/regspeech12/test/test_narsingdi_0109.wav,কী জানি করে দিয়েছিলাম মরার মাজাকা না পরে মানে হেসমেদা অন্যায় তাতের মধ্যে তেল সিটটা ফিরোমেটাকে অনেক টের পাইনি কিন্তু হেসমেদ দুই এক ফোঁটা তেল সিটটা এখন আমরা তাতুখালী পরতি কেরে এলে কেকারো উড়াই আমি বরামে এটা সুন্দর করে মরার ওটা খেয়ায় করতে
/kaggle/input/regspeech12/test/test_tangail_0078.wav,সেও আসলে ধার দেনা অনেক হয়ে গেছে পরে সবাই সিদ্ধান্ত নেয় যে শিউলি লিয়ে মানে নায়িকার মানে বানিতার যে হাসপাতাল থেকে বাঁচায় স্থানান্তর করা হবে
/kaggle/input/regspeech12/test/test_kishoreganj_0031.wav,এদিকে সব প্রয়াতে নিয়োগ
/kaggle/input/regspeech12/test/test_sylhet_0249.wav,তো মিনিমাম ফাস্ট ক্লাস থাকার তো অনেক পরের দিকে আমিও তারপর ইন্টার ও আবার বোর্ড কলার টিপাইয়া বাড়তি পরীক্ষা দেওয়ার বাদে বাড়ির কেকটি আবার ওলা ধর্ষণীয় মানুষের
/kaggle/input/regspeech12/test/test_sylhet_0545.wav,স্যার যাব থাকেন প্রাইভেট পড়াশোনি আমি নিনু প্রাইভেট ভর্তি করছি না খুব করে কিনা
/kaggle/input/regspeech12/test/test_sylhet_0716.wav,এটা থাকাই লাগে না ম্যান্ডাটরিটা
/kaggle/input/regspeech12/test/test_sylhet_0531.wav, আর সুমের ব্যবস্থা মেয়ার ও ফাস্ট সেয়ার অর্পেন্সার এটাই ফাস্ট সেয়ার দিল আস্তে আমার রাখা হয় তাই গ্লেব এবং থার্ডিয়ার আছে আমার ভিন্ন বলতে হবে মানে তারার চিন্তা
/kaggle/input/regspeech12/test/test_barishal_0002.wav,গরম লাগে চুরি কি থেকে গেছে না এতে গরম লাগে তো হাত থেকে নিয়ে যায় রাস্তা তো চুরি কোথায় দেয় না ঈদের সময় কিন্তু না কাজলার পোলায় রাত্রির বাইকে পড়ায় নিতে হইবে
/kaggle/input/regspeech12/test/test_narsingdi_0132.wav,শুরুবেলা তো আমি যেই কিউটা ছিলাম আমার মতো একটা বাচ্চা দেখলাম নিজের এমনে আমার বাবা মায়ের কথা লাগিয়া তো কিউট একটা বাচ্চা ভাই আর তোরা দেখ শুরুবেলা তো ছোট্টার মতো দেহাজারীদেরা বোয়িং আমি শুরুবেলা হয়তো আমার নিজের শুরুবেলার সাথে আমিও দেখছি না ওকে কিন্তু শুরুবেলা যেটাই ওকি
/kaggle/input/regspeech12/test/test_rangpur_0035.wav,তাই মাঝে মধ্যে গেলে এখন খুবুর বাড়ি কি করবেন তা হয় তাই খাওয়া লাগে আগাতো খারি পাছে মা আছে
/kaggle/input/regspeech12/test/test_rangpur_0124.wav,পার্থাক্ষর মনে করে এলা সাপ দিয়ে ইউরিয়া সার পটাদপত্রের এগিলে দিয়ে সাক ফলে ফলে যান দিবা যাবু যাহাতে পাইলেও তলাও পড়ে না
/kaggle/input/regspeech12/test/test_narsingdi_0060.wav,আর আমার দান্দা সিল্কের সময় কলাম গিয়ে খেলবে আমার রিভিন্ন মেমোরিয়াস্টর দর্দা খিলিয়ে আসতে করে খেললাম এদিকে আমার বাগান মাঠে না খাইয়া দেখতাম আবার অনেকক্ষণ হোমওয়ার্ট দিয়ে বৈত হোমওয়ার্ট না হলে খেলতে দিতাম
/kaggle/input/regspeech12/test/test_barishal_0085.wav,হেইয়ে করিয়া হেইয়ের পরে মনে করেন কাম শিখছি এত সোজা কাম আপনারা তো কান্তিক ক্রেত্রী হয়
