link,rating,solution
https://codeforces.com/contest/1915/problem/D,900,"// Bismillah
#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

bool vowel(char ch) {
    return (ch == 'a' || ch == 'e');
}

bool consonant(char ch) {
    return (ch == 'b' || ch == 'c' || ch == 'd');
}

void solve()
{
    int n, i, j;
    string s;
    cin>> n >> s;
    vector<int> ans;

    for (i = 0; i < n-1; i++) {
        if (consonant(s[i]) && vowel(s[i+1]))
            ans.push_back(i);
    }
    //cout<< ans.size() << ""\n"";
    int m = ans.size();
//    if (m == 1)
//        cout<< s << ""\n"";

    vector<string> split;
    for (i = 0; i < m-1; i++)
    {
        int idx = ans[i];
        if (ans[i+1]-ans[i] == 3) {
            split.push_back(s.substr(idx, 3));
            //cout<< ""hi"" << ""\n"";
            //cout<< idx << "" "" << s.substr(idx, 3) << ""\n"";
        } else if (ans[i+1]-ans[i] == 2) {
            //cout<< idx << "" "" << ""bye"" << ""\n"";
            split.push_back(s.substr(idx, 2));
            //cout<< s.substr(idx, 2) << ""\n"";
        }
    }
    if (ans[m-1]+3 == n)
        split.push_back(s.substr(ans[m-1], 3));
    else
        split.push_back(s.substr(ans[m-1], 2));

    //cout<< split.size() << ""\n"";
    for (i = 0; i < m; i++) {
        cout<< split[i];
        if (i == m-1)
            cout<< ""\n"";
        else
            cout<< ""."";
    }
}

int main()
{
    int t = 1;
    ios_base::sync_with_stdio(false);
    cin.tie(0);
    cin>> t;
    while (t--)
        solve();
    return 0;
}
 "
https://codeforces.com/contest/1915/problem/C,800,"// Bismillah
#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    int n, i, j;
    ll sum = 0, num;
    cin>> n;
    for (i = 0; i < n; i++) {
        cin>> num;
        sum += num;
    }
    //cout<< sum << ""\n"";
    ll sq = ll(sqrt(sum*1.0));
    if (sq*sq == sum)
        cout<< ""YES"" << ""\n"";
    else
        cout<< ""NO"" << ""\n"";
}

int main()
{
    int t = 1;
    ios_base::sync_with_stdio(false);
    cin.tie(0);
    cin>> t;
    while (t--)
        solve();
    return 0;
}
 "
https://codeforces.com/contest/1915/problem/B,800,"// Bismillah
#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    int i, j, n;
    string s;
    for (i = 0; i < 3; i++) {
        cin>> s;
        char ch = '?';
        for (j = 0; j < 3; j++) {
            if (s[j] == ch) {
                bool founda = false;
                if (s[0] == 'A' || s[1] == 'A' || s[2] == 'A')
                    founda = true;
                bool foundb = false;
                if (s[0] == 'B' || s[1] == 'B' || s[2] == 'B')
                    foundb = true;
                bool foundc = false;
                if (s[0] == 'C' || s[1] == 'C' || s[2] == 'C')
                    foundc = true;

                if (!founda)
                    cout<< ""A"" << ""\n"";
                else if (!foundb)
                    cout<< ""B"" << ""\n"";
                else
                    cout<< ""C"" << ""\n"";
            }
        }
    }
}

int main()
{
    int t = 1;
    ios_base::sync_with_stdio(false);
    cin.tie(0);
    cin>> t;
    while (t--)
        solve();
    return 0;
}
 "
https://codeforces.com/contest/1915/problem/A,800,"// Bismillah
#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    int a, b, c;
    cin>> a >> b >> c;
    if (a == b)
        cout<< c << ""\n"";
    else if (b == c)
        cout<< a << ""\n"";
    else
        cout<< b << ""\n"";
}

int main()
{
    int t = 1;
    //ios_base::sync_with_stdio(false);
    //cin.tie(0);
    cin>> t;
    while (t--)
        solve();
    return 0;
}
 "
https://codeforces.com/contest/1917/problem/B,1100,"// Bismillah
#include<bits/stdc++.h>
using namespace std;

typedef long long ll;
int arr[27];

void solve()
{
    int n, i, j, m, sz;
    string str;
    set<char> s;
    cin>> n >> str;

    int ans = 0;
    for (i = 0; i < n; i++) {
        char ch = str[i];
        if (s.find(ch) == s.end()) {
            s.insert(ch);
        }
        sz = s.size();
        ans += sz;
    }
    cout<< ans << ""\n"";
    //return ans;
}

int main()
{
    int t = 1, i, j;
    arr[0] = 0;
    for (i = 1; i <= 26; i++) {
        arr[i] = arr[i-1] + i;
    }
    arr[2] = 2;
//    for (i = 1; i <= 26; i++)
//        cout<< i << "" "" << arr[i] << ""\n"";
    cin>> t;
    while (t--)
        solve();
    return 0;
}"
https://codeforces.com/contest/1917/problem/A,800,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    int n, i, j, num;
    int arr[200];
    cin>> n;

    for (i = 0; i < n; i++) {
        cin>> num;
        if (num == 0)
            arr[i] = 0;
        else if (num < 0)
            arr[i] = -1;
        else
            arr[i] = 1;
    }
    int prod = 1;

    for (i = 0; i < n; i++)
        prod *= arr[i];

    if (prod <= 0)
        cout<< 0 << ""\n"";
    else {
        cout<< 1 << ""\n"";
        cout<< ""1 0"" << ""\n"";
    }
}

int main()
{
    int t = 1;
    cin>> t;
    while (t--)
        solve();
    return 0;
}"
https://codeforces.com/contest/1905/problem/B,1100,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    int deg[100005], i, j, u, v, n;
    memset(deg, 0, sizeof(deg));
    cin>> n;
    for (i = 0; i < n-1; i++) {
        cin>> u >> v;
        deg[u] += 1;
        deg[v] += 1;
    }
    int cnt = 0;
    for (i = 1; i <= n; i++) {
       // cout<< deg[i] << "" "";
        if (deg[i] == 1)
            cnt++;
    }
    //cout<< ""\n"";
    cout<< int(ceil(cnt/2.0)) << ""\n"";
}

int main()
{
    int t = 1;
    cin>> t;
    while (t--)
        solve();
    return 0;
}"
https://codeforces.com/contest/1905/problem/A,800,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    int r, c;
    cin>> r >> c;
    cout<< max(r, c) << ""\n"";
}

int main()
{
    int t = 1;
    cin>> t;
    while (t--)
        solve();
    return 0;
}"
https://codeforces.com/contest/1904/problem/A,900,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

void solve()
{
    ll xk, yk, xq, yq, a, b, x_val, y_val;
    cin>> a >> b >> xk >> yk >> xq >> yq;

    ll x[8] = {-b, b, a, a, -a, -a, b, -b};
    ll y[8] = {a, a, b, -b, -b, b, -a, -a};
    int i, j;
    set< pair<ll, ll> > p1, p2;
    for (i = 0; i < 8; i++) {
        x_val = xk + x[i];
        y_val = yk + y[i];
        //cout<< x_val << "" "" << y_val << ""\n"";
        p1.insert(make_pair(x_val, y_val));
    }
    //cout<< ""\n"";

    int cnt = 0;
    for (i = 0; i < 8; i++) {
        x_val = xq + x[i];
        y_val = yq + y[i];
        //cout<< x_val << "" "" << y_val << ""\n"";
        p2.insert(make_pair(x_val, y_val));
//        for (j = 0; j < p1.size(); j++) {
//            if (p1[j].first == x_val && p1[j].second == y_val) {
//                cnt += 1;
//                cout<<
//            }
//                // cnt += 1;
//        }
    }
//    //cout<< cnt << ""\n"";
//    cout<< ""\n\n"";
//    cout<< ""---------- "" << p1.size() << "" "" << p2.size() << ""\n"";
    set< pair<ll, ll> >::iterator it1, it2;
    for (it1 = p1.begin(); it1 != p1.end(); it1++) {
            //cout<< it1->first << "" "" << it1->second << ""\n"";

//        for (j = 0; j < p2.size(); j++) {
//            if (it->first == p2[first && p1[i].second == p2[j].second)
//                cnt += 1;
//        }
        for (it2 = p2.begin(); it2 != p2.end(); it2++) {
            if (it1->first == it2->first && it1->second == it2->second)
                cnt += 1;
        }
    }
    //cout<< ""------cnt "" << cnt << ""\n"";
    cout<< cnt << ""\n"";
}

int main()
{
    int t = 1;
    cin>> t;

    while (t--)
        solve();

    return 0;
}"
https://codeforces.com/contest/1878/problem/C,900,"#include<bits/stdc++.h>
using namespace std;

typedef long long ll;

ll arr[200005];

void solve()
{
    int n, k;
    ll x, mn, mx;
    cin>> n >> k >> x;

    mn = arr[k];
    mx = arr[n] - arr[n-k];
    if (x >= mn && x <= mx)
        cout<< ""YES"" << ""\n"";
    else
        cout<< ""NO"" << ""\n"";
}

int main()
{
    ios_base::sync_with_stdio(0);
    cin.tie(0);
    int t = 1, i;

    arr[0] = 0;
    for (i = 1; i <= 200000; i++)
        arr[i] = arr[i-1] + ll(i);

    cin>> t;
    while (t--)
        solve();

    return 0;
}"
