path,transcription
/kaggle/input/regspeech12/test/test_sylhet_0070.wav,এগুত্ব ব্যচত আমি শাড়ি পরছে পরিয়ে দক্ষিণ শোময কলা যোগে চামর বইলাগ্রনে মঙগরবন বলতে আমার ব্যাস্টম্ান্ডো কলা ড্ল্াকারব্যস্টতাই আমি নুকেছি আতাই আস্তা থাকিস্ক
/kaggle/input/regspeech12/test/test_narsingdi_0002.wav,ইখারাপ ফেলা আছে না তারা াত ওই লিগগুলোতে ভালো ফেলে ডমেস্টিকে ভালো ফেলে পরেই তোওদেরকে জাতীয় দরে ডাকা হয় িপ্লেয়ার ত়র একটা বিটানা প্লেয়রত
/kaggle/input/regspeech12/test/test_sylhet_0637.wav,তারাে তা যৌথনে তারা কোতা যৌথ নি ়াপ্লগে তাহননি হিঙুয়াা
/kaggle/input/regspeech12/test/test_sylhet_0227.wav,তোকানদিঙান্দি পরীক্ষা দিলাম তিয়াউইয়ার আইসি অখনত শিরাসামার পডরা ও বাড়ির রাস্তা কটা উচছু নে বাড়ির ঢুকবার একটা রাস্তার সিকোলাত্রি পরীক্ষাদিয় আইসি বাদে দেখি আমার পায়ে না রাস্তায় গুটমাটিলায় মাামাটি ফালাইয়া আগে বড় করে
/kaggle/input/regspeech12/test/test_tangail_0035.wav,ই ২০০ সালে রিলিজয়কিন গারেেডিমিটরছিল অ্যানডি এই ছবিটা যখন অস্কার পায় তার পরই আমি প্রথম এডের নাম শুনি  লাই ফোঁ্ট পাই প্রথমে বাবছিলাম যেটা ম্যাটম্যাটিক্সের কোনো ঠিবিটিকনিয়া হব যেহেতু লাইভ পায় আছে অ্যামবাবশি পা়এর
/kaggle/input/regspeech12/test/test_narail_0103.wav,করে েমানের বুকে বলতি ভিতরে পারশন করিছো নপারেশন করার কথা কহনি টুমারটা এবন জায়গায় সেটাদল
/kaggle/input/regspeech12/test/test_rangpur_0053.wav,আগে টাকাআলািখাাই ঝাইবাগানে হাট দে সিলারাতরি ভজরের ্রা আল্লাহর কাছে হাজার শুকুর মোর কোনো দিঘে ঠেকানে লয়ার বরজিারিজ্ আনাি
/kaggle/input/regspeech12/test/test_sylhet_0067.wav,মরতে আমি নিজেরে বুঝলে অলামমার ফরা বস খললাম র নিে তম কপরে তারা মনহসাম বর্তিতো ননেউদদিন গেছি কি আমি ৩র মার্চের ১০তারিবিআয় গেছে ফেব্রুয়ারির ৃষ্া
/kaggle/input/regspeech12/test/test_comilla_0032.wav,অর পুরা ফ্িমিলি আমাকে খুব লাইক করত এখান থেকে আমি ২৪ বৎসর ছিলাম এইখানে আমার উই দেশের চলাফেরা খুব ভালো লাগছে কিন্তু অনেকে বিদেষ কষ্ট এইসেই কিন্তু আমার কাছে খুবই ভালো লাগছে
/kaggle/input/regspeech12/test/test_narail_0018.wav,তা আমরাতো খাইনেতা আমরা খালে খালেে রা খাই না যদুওর মাসুতে তাটা বদেশে দিয়ে াাতা মাসে তোবাই খাইছি তা মাসে তো বাইসুে আমরা থাই ারা া১০ হাার টাকা পাইছে তা ততরমা ও জানে সেটা সবাই জেনা সবারাইি এতোসব বেলাদে নাগা আমরা সবাই জা
/kaggle/input/regspeech12/test/test_sylhet_0047.wav,খোলা যেচ সম় জারেগুলাগুলো যোজ আলাগা পাইবে াসার দবইনে ফল্টিিটানি ফিপিওফিপিসিকে
/kaggle/input/regspeech12/test/test_sylhet_0203.wav,জেরুদের মধে দানগাটা দান কাটা খুব কস্বর আছে র কুটালইয়া মুরুব আর টেশাদানেই আরা পাকরি  ফুরু আমার শিলতা চাকরি একআশাকা যদি একবার তাবিদা আরে গ়
/kaggle/input/regspeech12/test/test_chittagong_0166.wav,আজ রাজহফিরা ন ইয়াসনিলাঅওজাইদি দেনােদোলনরতনা নতিন বার দেনাহতাল কত দোলন ভিএন আমেন্নিত দলনো বেয়ারকে
/kaggle/input/regspeech12/test/test_narail_0155.wav,াক্তারদায়াতেসংতন২দিন ১নরদিনে মধ্যে পুলিশ পুনারদিনি ডাক্তারে পিস্কম ে
/kaggle/input/regspeech12/test/test_habiganj_0060.wav,ুটোদুইয়েড আউতাশয় তানি তারে একটা দিলে ১শ চা দিব আর আমার সুটুকাই ডেত আমারের
/kaggle/input/regspeech12/test/test_habiganj_0033.wav,আছাতুমার গাঙ্গাটন্না নিয়া এহন গোলসানবিতা
/kaggle/input/regspeech12/test/test_rangpur_0065.wav,ই মারমে জুয়য়আর কৌন আতয়ারর কথা খনহসেই আকরর কথা কান্ডা বেরি এইিযযকারনে
