path,transcription
/kaggle/input/regspeech12/test/test_sylhet_0070.wav,বরুত্ব ব্যসতত আমি সাড়ি বছর পরিয়া দক্ষিণ স্মযা কলাযোগে তেমন বইল মং্গ্রবণ বলতে আমার বেক মেপলাডলাইবারকাযস্তাই আমি গনবিতিক টাই আসপাতা
/kaggle/input/regspeech12/test/test_narsingdi_0002.wav,ইখারাপ ফেলাই রাসে না তারা ভাদ ওই লিগগুলোতে ভালো ফেলে ডমেস্টিকে ভালো ফেলে পরেই তোওদেরকে জাতীয়া বরে ডাকা হয় িন্তুপ্লেয়ার ত়র একটা বিধানা প্লেয়ারত অনেক
/kaggle/input/regspeech12/test/test_sylhet_0637.wav,তারাকে তাদে ওখন তারাকতা যৌথ নিয়াপ্লগে তাহ ি
/kaggle/input/regspeech12/test/test_sylhet_0227.wav,দোকানদিনান্দি পরীক্ষা দিলাম টিয়াউইয়ার আইতি অহনতষ্টি রাচামর করা ও বাড়ি রাস্তা একটা উছুনে বাড়ির ঢুবকর একটা রাস্তার তিকলততে পরীক্ষা দিয় আইতিবাদে দেখি আমার পায়েরা রাস্তায় গুমাটিনি মাামাটি পালাইযা একবেে বড় হরে
/kaggle/input/regspeech12/test/test_tangail_0035.wav,ই ২০০ সালে রিলিজয়কিননরেরএ ডিরেক্টর ছিল অ্যানডি এই ছবিটা যখন অস্কার পরায় তার পরই আমি প্রথম এদের নাম শুনেছি ছ লাই ফো্ড পাই প্রথমে বার ছিলাম যো ম্যাটম্যাটিকদে কোনো থিরুটির নেয়া হব যেহেতু লাইফ পাযই আসে আমাপায়এর
/kaggle/input/regspeech12/test/test_narail_0103.wav,রে ে মানে বুকে বলতি ভিতরে  অপারশন করিছো নপারেশন করার কথা কহননি ুমারটা এবন জায়গায় সেটাদল
/kaggle/input/regspeech12/test/test_rangpur_0053.wav,আগে টাকালাাাইধাই বাগামে়ে হাঁটুত গি়ে তিলা রারিবার েট্রা আল্লার কাথে হাজার ঠুকুর মর কোনো ভিংসে
/kaggle/input/regspeech12/test/test_sylhet_0067.wav,কথাবার্তা আমি নিজেরে বুঝলে অলামামার ফরাবত খলাম পরে তারা মলসতাম বর্তিত ননেওদিন গেতিকি আমি বর্তি একটি মার্টের ১ারিবিআইে ফেব্রুয়ার
/kaggle/input/regspeech12/test/test_comilla_0032.wav,অর পুরা ফ্িমিলি আমাকে খুব লাইক করত এখান থেকে আমি ২৪ বৎসর ছিলাম এইখানে আমার উই দেশের চলাফেরা খুব ভালো লাগছে কিন্তু অনেকে বিদেষ কষ্ট এইসেই কিন্তু আমার কাছে খুবই ভালো লাগছে
/kaggle/input/regspeech12/test/test_narail_0018.wav,াআমরাতো খাইনেতা আমরা খালে খলেে মরা খাই না যদিওর মাসুতে তাটাবদেশে দিয়ে তাতালতা মাসে তোবাই খাইিতা মাসে তো বাইতুরবে আমরা খাই ন১০ হা০ার টাকা পাইতে তাততরমা আওতানেে ফবাই জোাাাপাই পে় তো সব মেলাদে ন াগা আমরা সবাইে
