,file_name,transcripts
0,train_barishal (1).wav,আসসালামু আলাইকুম আমার নাম হাসিবুর রহমান শুব ডিপারমেন্ট অব সপটোওয়্যার ইনজিনারিং ফাস্ট সেমিস্টার ব্যাচ নাম্বার ফোরটি আমি ড্যাফোডিল ইন্টারন্যাশনাল ইউনিবার্সিটিতে পড়াশুনা করতেছি আর আমার হোমটাউন হচ্ছে হলো বরিশালে
1,train_barishal (2).wav,আমার আইডি নং হচ্ছে জিরো টু ফোর টু থ্রি ওয়ান ত্রিপল জিরো ফাইব থ্রি ফোর অন অন সিক্স নাইন আমার সাথে এখন যুক্ত হচ্ছেন আমারই বরিশালের এক ফ্রেন্ড ও ড্যাফোডিল ইন্টারন্যাশনাল ইউনিভার্সিটিতে পড়ে সিএসি ডিপার্মেন্টে জুবায়ের তোমার পরিচয়টা দেও
2,train_barishal (3).wav,আসসালামু আলাইকুম আমার নাম মোহাম্মদ জুবায়ের আহমেদ আমি আমিও বরিশালের আমি ড্যাফোডিল ইন্টারন্যাশনাল ইউনিভার্সিটি সিএসসি ফার্স্ট ডিপার্মেন্ট আমার ব্যাচ হচ্ছে সিক্সটি ফোর আমিও
3,train_barishal (4).wav,এখন শুধু গসিপ শুরু করো হ্যালো হ্যালো তা জুবায়ের আসলি কবে বরিশালে আমি বরিশালে আসছি চোইদ্দ তারিক চোইদ্দ তারিকে তো অনেক ঝড় ঝাপটা পেড়িয়া আসছি বাসে আসতে
4,train_barishal (5).wav,ভালোই একটা জ্যাম মোটামুটি ভালোই বরিশাল আইস্যা ভালোই লাগতেছে ঢাকা থেকে ঢাকায় তো পুরা ডিপ্রেশন এই সেই বরিশালে আইস্যা আমার খুব ভাল্লাগতে আছে বরিশালে আমার কাছে ঢাকায় যতটা না ভাল্লাগে মানে বরিশালে রিফ্রেশমেন্টের একটা জায়গা লাগে
5,train_barishal (6).wav,মানুষেরে আসলে পুরা একটা নিজের সেই কম্ফোর্টএবল কম্ফোর্ট জোনের মদ্দে আইসা পড়ি এরপর রিফ্রেশ অইয়া যাই ভালোই তোর অবস্তা কী তুই তো আসছো কবে জানি আমার তো অবস্তা আমি তো তোরে অনেক কিছুই বললাম আমি হচ্ছে হলো বারো তারিক যখন কেলাস শেষ হলো সাতে সাতেই আমি
6,train_barishal (7).wav,আর এসে পড়েছি আসার পর তো হচ্ছে হলো লঞ্চে কেবিন কাটলাম লঞ্চে কেবিন কাটার পর তো হচ্ছে হলো সেই লঞ্চ ছিল না এক শিডিউলে দুইটা লঞ্চ ছিল তারপর হচ্ছে কী করব তারপর সেই রাত নয়টার সময় চলে গেছি গুলিস্তান গুলিস্তান থেকে হচ্ছে হলো ওখান থেকে
7,train_barishal (8).wav,ওখান থেকে গাড়ি ধরছি গাড়ি ধরার পর হচ্ছে হলো সেই বরিশালে আসছি হচ্ছে হলো প্রায় দেড়টার পরে বরিশালে আসলাম আসার পর এইতো আল্লার রহমতে এখন ভালোই চলতে আছে গরমে পুরাই অবোস্তা খারাপ বানাইয়া ফালাইছে
8,train_barishal (9).wav,কি যে অবস্থা বরিশালে গরম ঘন ঘন কারেন্ট যায় বাজে একটা সিচুয়েশন বরিশালে পুরা আনেক্সপেক্টেড ডাফডিল ঢাকা দেখছিলাম কারেন্ট যাইতো না
9,train_barishal (10).wav,ভালোই লাগছে অ্যাসাইনমেন্ট করতে বসছি একটা একটা অ্যাসাইনমেন্ট করতে বসছি তোরে যে কারেন্ট এর জন্য খালি খালি মানে ঠিকমতো করতেই পারলাম না আমি কষ্টে শেষ করছি আরেকটু বাকী আছে
