path,transcription
/kaggle/input/regspeech12/test/test_sylhet_0070.wav,ইগুর তো বেচতো আমি স্টাডি ফরছি খরি আর দক্ষিণ সময় কলেজো তে আমার বইন সা তো মা মুগুর বইন তরে মাংগ্ন বলতে আমার ব্যাক ফ্রেন্ড বলতে ফারো কলেজ লাইফে তোই বেস্ট ফরে তাই আমি হাফ বলে দিন দিতি আর তাই আস্তা তাই দিছি
/kaggle/input/regspeech12/test/test_narsingdi_0002.wav,তারা তো ওই খারাপ খেলাইয়া আসে না তারা ভালো ওই লিগগুলাতে ভালো খেলে ডমেস্টিক এ ভালো খেলে পরেই তো ওদেরকে জাতীয় কইরা ঢাকা হ হ কিন্তু কী করবে ক প্লেয়ার তো আরে একটা দিলো না প্লেয়ার তো অনেক
/kaggle/input/regspeech12/test/test_sylhet_0637.wav,তারাও কিতা দেওনি তারাও কিতা যৌথ একলগে থাখোইন তখন এখলগে আর এখজন বড়ো আগায়া ডাখতর
/kaggle/input/regspeech12/test/test_sylhet_0227.wav,তো খান্দি খান্দি ফরীক্কা দিলাম টিয়া অইয়া আইতে অখন তো টেখার করা ওউ বাড়িত রাস্তা একটা বুঝছোনি বাড়িত ঢুকবার একটা রাস্তা কত্তে ফরীক্কা দিয়া আইতে বাদে দেখি আমার বাইয়ের আর রাস্তা মাটি নিলায় মাটি ফালাইয়া আইবা বড় খরে
/kaggle/input/regspeech12/test/test_tangail_0035.wav,লাইফ পাই দুই হাজার সালে রিলিজ ওয় কিন্তু আর এইডে ডিরেক্ট ছিলো এনডিএই ছবিটা যহন অস্কার পায় তারপরে আমি প্রথম এইডার নাম শুনছি যে লাইফত পাই প্রথম ভাব ছিলাম যেহেতু ম্যাথমেটিকদে কুনু টিকিট নিয়া হবো যেহেতু লাইফ পায় আছে আমরা প্রাইবেট
/kaggle/input/regspeech12/test/test_narail_0103.wav,আর বুকে এট্টু উন্নত ধরা পরে গেলো মানে বুকে বলতি ভিতরে ইতা অপারেশন করিছো না অপারেশন করার কথা কয় নি না না টুকরা আপন জায়গায় সেটা দর
/kaggle/input/regspeech12/test/test_rangpur_0053.wav,আর আগে টেকা আলা আসিল খা খাই যাই বাজার নিয়া হাটত গেসিল আর আচ্ছিল আছে আল্লাহর কাছে হাজার শুকুর মোর কোনো জিনিসের ঠ্যাকা নাই হ সেইটায় কি টা কর ট্যাকা বাজার তো শুকুর
/kaggle/input/regspeech12/test/test_sylhet_0067.wav,খতা খরছে আমি নিজেরে বুঝতে খরলাম আমার ফরে খরলাম কিছু নাই সামনে তাইক্কা আমি বইতাছি ফরে তারা মনে খর তো আমি বর্তি অইতো না অনেখদিন গেছি কি আমি বর্তি ওইছি মারে দশ তারিখ নাই তার বিয়া ইতারার বিয়া ওই গেছে ফেব্রুয়ারি
/kaggle/input/regspeech12/test/test_comilla_0032.wav,অর পুরা ফ্যামিলি আমাকে খুব লাইক করতো তো ইখান তাইকা আমি চব্বিশ বৎসর ছিলাম ইখানে আমার ওই দেশের চলা ফ্যারা খুব ভালো লাগছে কিন্তু অনেকে বিদেশ কষ্ট এই সেই কিন্তু আমার কাছে খুবই ভালো লাগছে
/kaggle/input/regspeech12/test/test_narail_0018.wav,তা আমরা তো খাই নাই তা আমরা খালি খালি সে কাডা আমরা খাই নাই যদি ওর মাইনসে তো টাকা দিসে দিয়ে তা তালি তোর মাইনসে তো ভাই খাইছে তোর মাইনসে তো বাইছুর অবে আমরা খাই না আমরা আমরা দশ হাজার টাকা পাইছে তা তো তোর মাও জানে সেইডে সবাই যে না সবাইরে কাটাইছি তো মেলাদিন আগে আমরা সবাই যায়
/kaggle/input/regspeech12/test/test_sylhet_0047.wav,আফনার কিলা টাইম ন যায় না মানে কিতা খরোইন বাসাত আন্নে তো কলেজ খম যা রেগুলার গুলা যে যাওয়া লাগে খাওয়াইবে আর কিন্তু বাসাত বইন ফঞ্চাইস খরি রান্না বাড়া তাইন আর খরোইন খরোইন কিতা কিতা খরোইন না একটু পাখি এক বেটারি বিটা লাইন আমরারে
/kaggle/input/regspeech12/test/test_sylhet_0203.wav,ই হে যে দাম কাটা খুব কষ্ট রাজি ইতা খয় ইটা লইয়া মুরুক আর তেখে দানি আর চাকরি গিয়া আনি আছিলাম তো কুনু আমার আত্মীয়তা চাকরি এখেলা যদি একটা দাও দিতাম না
