path,transcription
/kaggle/input/regspeech12/test/test_sylhet_0070.wav,গুরুত্ব ব্যস্ত আমি সারে বছর পরে দক্ষিণ সোমা কলা যোগ তেমন বইলামংগ্রবণ বলতে আমার বেক মেলা লাইবার তাই আমি নিতি তাই পাতা
/kaggle/input/regspeech12/test/test_narsingdi_0002.wav,খারাপ ফেলাই আছে না তারা ভাত ওই লিগগুলোতে ভালো খেলে ডমেস্টিকে ভালো ফেলে পরেই তো ওদেরকে জাতীয়াবরে ডাকা হয়িন্তু্লেয়ার তর একটা বিধান প্লের তো অনেক
/kaggle/input/regspeech12/test/test_sylhet_0637.wav,তাকে তাতে ওখন তারা কিতা যৌথ নি প্লে তা
/kaggle/input/regspeech12/test/test_sylhet_0227.wav,দোকান দি কান্দি পরীক্ষা দিলাম পিয়াউইয়ার আইতি হতি সামার করা ও বাড়ি রাস্তা একটা উনি বাড়িরঢুবকর একটা রাস্তার পিকনিক পরীক্ষা দি আইতি বাদে দেখি আমার বায়েরা রাস্তায়গুমাটি মামাটিপালাইযা এক বে বল করে
/kaggle/input/regspeech12/test/test_tangail_0035.wav,২০০ সালে রিলিজয়কিনরে ডিরেক্ট ছিল অ্যানডি এই ছবিটা যখন অস্কার পরায় তার পরে আমি প্রথম এদের নাম শুনছি লাই ফোন পাই প্রথমে ভাবছিলাম যে ম্যাটম্যাটিকে কোনো থিরিটিনেয়া হব যেহেতু লাইফ পাই আছে আমার
/kaggle/input/regspeech12/test/test_narail_0103.wav,মানে বুকে বলতি ভিতরে অপারেশন করিছো নবারেশন করার কথা কহনিমাটাএবন জায়গায় সেটা দর
/kaggle/input/regspeech12/test/test_rangpur_0053.wav,আগে টাকা লাই ধান বাগানে হাটত দে পিলার রে ট্রাক আল্লাহর কাছে হাজার শুকুর মোর কোনো ভিসা
/kaggle/input/regspeech12/test/test_sylhet_0067.wav,কথাবার্তা আমি নিজেরে বুঝে লামার ফরা খলাপরে তারা মনে বর্তি নলেদিনগেতিকি আমি বর্তি একটি মার্চের তারিখি আই ফেব্রুয়ার
/kaggle/input/regspeech12/test/test_comilla_0032.wav,অর পুরা ফেমিলি আমাকে খুব লাইক করত এখান থেকে আমি ২৪ বৎসর ছিলাম এইখানে আমার উই দেশের চলাফেরা খুব ভালো লাগছে কিন্তু অনেকে বিদেশ কষ্ট এই সেই কিন্তু আমার কাছে খুবই ভালো লাগছে
/kaggle/input/regspeech12/test/test_narail_0018.wav,আমরা তো খাই নেতা আমরা খালি খালি আমরা খাই না যদি ওর মাসে তে টাকা ব দেশে দিয়েতাতালতা মাসে তো বাই খাইতা মাসে তো বাইত অরবে আমরা খাই না১০হা০ার টাকা পাইতে তা তো তর মা ওতা ফাই যেবাই তে তো সব মেলাদিন আগে আমরা সবাই
/kaggle/input/regspeech12/test/test_sylhet_0047.wav,কলা কর বাজারগুলা গুলো তো জাগা পাইবে বাজার দইরালবা বিটারে ফিফটি বিসিকের
/kaggle/input/regspeech12/test/test_sylhet_0203.wav,কাটা খুব কষ্ট তর উটালইয়ামুরুগ দেখানি কুনু মার চিনতা চাকরি এক কেরা যদি বিদা
/kaggle/input/regspeech12/test/test_chittagong_0166.wav,আজ রাজ ফিরান ভর ইয়াসনিলা় সাইবেন দল রতন নতুন বার দেনা তাল কত দোন বিএম আমন্নিতদলনবে়ার কে
/kaggle/input/regspeech12/test/test_narail_0155.wav,পাতা দিহাতি দেবে তাই
/kaggle/input/regspeech12/test/test_habiganj_0060.wav,ুটোদুয়েডওতাস য়তানিতারে একটা দিলে দশ থাকিবে রামানপুডুবাই ডেত আমারে
/kaggle/input/regspeech12/test/test_habiganj_0033.wav,আচ্ছা তোমার গান্গাটন্নানেয়ে অনুভব সান বেতা র
