path,transcription
/kaggle/input/regspeech12/test/test_sylhet_0070.wav,ইগুত ব্যাচ তো আমি শাড়ি ভর্তি করি আর দক্ষিণ শামা কলেজে গেছে আমার বোনের সাথে মঙ্গুর বোন বলতে আমার বেস্ট ফ্রেন্ড বলতে পারে তাই আমি ড্রবী নেমে গেছি আর তাই আসতে থাকে
/kaggle/input/regspeech12/test/test_narsingdi_0002.wav,তারা দুই খারাপ ফেলে গেছে না তারা ওই লিগ গুলাতে ভালো খেলে ডোমেস্টিকে ভালো খেলে পরেই তো ওদেরকে জাতীয় দলে ডাকা হয় হাহ কিন্তু কী করব প্লেয়ার তো আর একটা দিতে না প্লেয়ার তো অনেক
/kaggle/input/regspeech12/test/test_sylhet_0637.wav,তারাও কি তা যৌতুনি এক লোকে তা হয়নি তিনজন অন্য পাখার একজন আর একজন বড়দার হাতে আমি কুয়া ডাক্তারর আচ্ছা
/kaggle/input/regspeech12/test/test_sylhet_0227.wav,তো কান্দি কান্দি পরীক্ষা দিলাম টিয়াওয়া আইসি অফনত শিয়া সামার করা ও বাড়ির রাস্তা একটা বুঝে নিই বাড়িত ডুববার একটা রাস্তা শিকন আছে পরীক্ষা দিয়ে আইসি বাদে দেখি আমার ভাইয়েরা রাস্তায় ঘুরে মাটি ফালাইয়া এগুলে বড় ভরের
/kaggle/input/regspeech12/test/test_tangail_0035.wav,লাইফ অফ পাই দুই হাজার সালে রিলিজ হয় কিন্তু আর এটার ডিরেক্টর ছিল অ্যাংলি এই ছবিটা যখন অস্কার পায় তার পরে আমি প্রথমে এটার নাম শুনছি যে লাইফ অফ পাই প্রথমে ভাবছিলাম যেটা মেথমেটিক্সের কোনো থিওরিটি নিয়ে হব যেহেতু লাইফ পায় আছে আমি ভাবছি পায়ের
/kaggle/input/regspeech12/test/test_narail_0103.wav,বুকে টুইনার দ্বারা পড়ে যান মানে বুকে বলতে ভিতরে তা অপারেশন করেছ আমরা অপারেশন করার কথা করিনি না না টিউমারটা এমন জায়গায় সেটা দৌড় করে
/kaggle/input/regspeech12/test/test_rangpur_0053.wav,আর আগে টাকাওয়ালা ছিল খায় ঝাই বাজার নিয়ে হাঁটুত গিয়েছিল রাত্রি দুধে একটা তাড়িয়ে আছি আল্লাহর কাছে হাজার শুকুর মোর কোন দিকের ঠেকা নেই
/kaggle/input/regspeech12/test/test_sylhet_0067.wav,কথা করতে আমি নিজেরই বুঝতে পারলাম আমার ফলে অ্যাপস করলাম কিছু করে নাই সামনে দিতে তার নাম নেওয়া ওকে তার আমি বৈধ আছি পরে তারা বলেছে আমি ভর্তি হলাম অনেক দিন গেছি কি আমি ভর্তি মার্চের দশ তারিখে নাই নাগাবাদ ছিটি আর তার বিয়ার গেছে ফেব্রুয়ারির বিশ্রামে
/kaggle/input/regspeech12/test/test_comilla_0032.wav,অর্পুরা ফ্যামিলি আমাকে খুব লাইক করত এখান থেকে আমি চব্বিশ বছর ছিলাম এখানে আমার ঐ দেশের চলাফেরা খুব ভালো লাগছে কিন্তু অনেকে বিদেশ কষ্ট এই সেই কিন্তু আমার কাছে খুবই ভালো লাগছে
/kaggle/input/regspeech12/test/test_narail_0018.wav,তা আমরা তো খাই নাই তা আমরা খালি খেলি সেতুর দরকার আমরা খাই নাই যদি ওর মাইসুতো টাকা দেশে দিয়ে তাই তোর মাইসুতো ভাই খাইছি আমরা দশ হাজার টাকা পাইছি তা তোর মাও জানে সেটা সবাই জানে আমি সবাই রাখি তাতে সব মেলাদিন আগে আমরা সবাই জানি
/kaggle/input/regspeech12/test/test_sylhet_0047.wav,বাসা এমনাতে কলেজের সময় যা রেগুলার কলেজে যা আলাকা পাইবে আর এমনাতে বাসা দেবই না ফন্টি বাইক ব্যাপারি রান্না ভাড়া করে
/kaggle/input/regspeech12/test/test_sylhet_0203.wav,ই যে রোদের মধ্যে দান কাটা খুব কষ্টর আছে নিসাফল কুটা লইয়া মুরুক আর ইটাসাদা নিয়ে আরাক চাকরি আর আমি আসলাম তো ফুরু আমার আসিলতা চাকরি
/kaggle/input/regspeech12/test/test_chittagong_0166.wav,আজ রাজবাসীরা না বিয়া সিলান অজায় ডিজাইনা ব্র্যান্ডের দোলনের তারা নতুন ব্যান্ড যে নামে তারা ছোট বই থাকে তাহলে পরে দেখে দোলনের বিয়ে নামেন নিত না দোলনের বিয়ার কি
/kaggle/input/regspeech12/test/test_narail_0155.wav,পুনার দিনই ডাক্তারদাতে খুবই গিলি কম করে দুটি তিনটি মাস তা লাগবে
/kaggle/input/regspeech12/test/test_habiganj_0060.wav,কিন্তু সুডু ধুয়েটে হত শয়তানি তারে একটা দিলে দশটা জীবন আর আমার সুডু ভাইটা তো আমারে
/kaggle/input/regspeech12/test/test_habiganj_0033.wav,আচ্ছা তোমার রাঙাটান্না নিয়ে এখন হোসেন পিতা হত্যা করো
/kaggle/input/regspeech12/test/test_rangpur_0065.wav,আরে কোন অথবার কথা কর সেই অত ওর কথা কর না বেটি উনার সেই বিয়ে করে নাই ও বিয়ে করে নাই
/kaggle/input/regspeech12/test/test_sylhet_0113.wav,আমার খালা জামাইও আছে তার বুঝি হবার মানুষ আছে তারা দোয়ালা দিলে দিনুক বলা চলে সাকোষ্ট করার চাহারা আমরা আজকে একটু কষ্ট পাব না বুঝছি ও আল্লাহ দিবে নাই কষ্ট করতাছেন ফল পাইবেন
/kaggle/input/regspeech12/test/test_kishoreganj_0185.wav,অম্বা বেলা বানান
/kaggle/input/regspeech12/test/test_sylhet_0248.wav,রিলানা বিয়া তখন পড়িয়া দিতে হইল ও তার আরে একটা জবাব দেওয়া তখন দায়িত্বের মাঝে পড়ে গেছে বাইরের মানসম্মান রক্ষা করা ও পড়তাম পড়তে পড়তে আমার টার্গেট আছে যে চাইও মিনিমাম ফার্স্ট ক্লাসটাতে না থাকে
/kaggle/input/regspeech12/test/test_sylhet_0482.wav,ভালো ছেড়ে রাখি এইখানে আমার কারণ বাড়ি চলা কি আমি একটু অসুস্থ মানুষ হিসেবে অন্য একটু সমস্যা হয়েছিল মেলার সব বেরিয়াহরের গ্রাহী সমস্যা বেশি হয়েছে ও কারণে একটু জায়গা ফালটা নেই নিজের বাসা থাকিয়াছে দূরেই থাকা তারপরেও তো বুঝলাম না কিছুটা বাবা নিজের তো ভবিষ্যত করা লাগিয়াই নাকি নিজের বাসা রাখিয়া কিন্তু বাড়াটা আমি কেন বুঝলে হয়নি আমার সমস্যার লাগে এখন কয়েকজন বার জন বাচ্চা এরাও নাকি
/kaggle/input/regspeech12/test/test_sylhet_0236.wav,তোর কি তার ইচ্ছা তো আমি কহিলাম রেজাল্টও করছি আপনারা দিলাইলে তো দিলাইবা কিন্তু আমি করতাম আমার করার ইচ্ছা আছে
/kaggle/input/regspeech12/test/test_sylhet_0391.wav,ভাড়াটি আন্টি
/kaggle/input/regspeech12/test/test_narail_0136.wav,আমার মা দুই বছর ইন্ডিয়াতে বেড়াবে আর দুই বছর আমি যাব দুই বছর যাই আমি কাগজপত্র রেডি করব তার ভোগে মারে নিয়ে যাব কোন দেশে যাব ইতালি ইউরোপে যেকোনো দেশে ঢোকার ইচ্ছা আছে ইতালি জার্মানি
/kaggle/input/regspeech12/test/test_sylhet_0097.wav,সাইজালয় সাইটিহা চতুর্থে সব জিনিসের রাগ মিলাম আর সবজি উচ্চে আমার মা এটা তো হয় বাহারী তা নেই মাস্তা হইত আমার মা নেই খাম করে আমার মায়ের তো হয় আর বিশেষ হ্রাম
/kaggle/input/regspeech12/test/test_habiganj_0103.wav,এখানে হোস্টেলের বাদে বিভিন্ন মানুষের যে আঞ্চলিক বসার মতা কেবল ছোকের খেত হিসেবে না তোর ভালোই লাগে এর আর কথাগুলো আমার হাতে আমার বাসুর ভালা লাগে আর কেউ বাসা ভালা লাগে না আর সিলেটের বাসা ভালা লাগে আর কেউ বাসাও তোটা ভালা লাগে না
/kaggle/input/regspeech12/test/test_sylhet_0576.wav,রুজিবা গত ঈদ খিলেন গেল গত ঈদের মধ্যে ঈদ হত মানে ফিল রাসলামের দেহ হইল না
/kaggle/input/regspeech12/test/test_sylhet_0481.wav,বইনে আমরা লোকে মাতিয়া দুর্নীতির জীবন ডাক্তার অবস্থা করা মানে শক্তিশালী কোম্পানি মানে সেখানে বুধরাইতে নেই তবে মানে শক্তিশালী খুব বেশি
/kaggle/input/regspeech12/test/test_narail_0083.wav,মানে দেহাইছে তাই তো তুমি কালিয়াস পাকবে কালিয়া বললাম না তিন চার দিন এ জায়গায় থাকবা নে মানে বাসায় বলতে যত উত্তরে এসে নেই মাথায় থাস্ট মানেনি
/kaggle/input/regspeech12/test/test_sylhet_0042.wav,কিছু প্রতি বছর আল্লাহ করেন
/kaggle/input/regspeech12/test/test_sylhet_0148.wav,শিব গোন্স শিবগঞ্জ তো বাবার বাড়ি কে কে আছে
/kaggle/input/regspeech12/test/test_sylhet_0622.wav,এখনে প্রায়শই আইএস কমেডি আমি কয়েকদিকে কিছু জানি আর থার্ডিয়ার পরে অনলাইনে করে নিলে অন্তত নাই স্বাস্থ্য হিসেবে ক্ষমতা করা যায়
/kaggle/input/regspeech12/test/test_sylhet_0208.wav,হতা ফারুনেগো হতা ফারুনেগো হতা ফারুনেগো আর বাপিরা হইত নাগা অতামাতিও নাগা তার বায়েন্দ্রে তাইরে পড়াইত তাই এসএসসি ফাস করলে পরে দিয়া দিব যত মানুষও হইত ও এসএসসি ফাস হলে ওটা সিল টার্গেট করে দেয়নি
/kaggle/input/regspeech12/test/test_habiganj_0028.wav,নির্মল তাহে পূজাটু জাতিতেও ভালোয় নিয়ম কিন্তু নিরামিষ খাইয়া দেওয়ান নিরামিষ খাইয়া দিলের বালা আমরা তো মাসের মাঝে দুইটা হাদুশি করি এইটার মাঝে একদিন তো উপাস থাকি সারাদিন ফল উল্ষাইয়া করি এরপরে পরের দিন নিরামিষ খাই পরে আবার এমন্য ফুজোও যা হইলে আরও কত পুজো যা আসে না নিতা তো উপাস থাইক নিরামিষ খাইয়া পূজা দেওয়ান লাগে
/kaggle/input/regspeech12/test/test_sylhet_0559.wav,কিন্তু কেউ পুরা বুঝা যায় না
/kaggle/input/regspeech12/test/test_sylhet_0514.wav,ইগোক্লিকায় চিন্তা যাবার ফোর্সা ফোর্সা যাবার ফোরেন আমি টিকেছি
/kaggle/input/regspeech12/test/test_narsingdi_0109.wav,কী জানি করে দিয়েছিলাম মরার মাজাকা না পরে মানে হেসমেতা অন্যথা সাহাতের মধ্যে তেল সিটটা ফুরে মেরে গেল টের ফাইনে কিন্তু হেসবাসের দুই এক ফোটা তেল সিটটা এসময় তাতাখালী পড়ছিল কেরে এলে কেকারো উড়াই আমি গরমে এটা সুন্দর করে মোরা রোষ হচ্ছে ইয়ায়া ফারছি
/kaggle/input/regspeech12/test/test_tangail_0078.wav,সেও আসলে ধার দেনা অনেক হয়ে গেছে পরে সবাই সিদ্ধান্ত নেয় যে শিউলির নায়িকার মানে বানিতাকে হাসপাতাল থেকে বাসায় স্থানান্তর করা হবে
/kaggle/input/regspeech12/test/test_kishoreganj_0031.wav,এদিকে সব প্রয়াতে নিয়ম অনেকে এই উদ্যায়ে লাগে না
/kaggle/input/regspeech12/test/test_sylhet_0249.wav,তো মিনিমাম ফার্স্ট ক্লাস থাকার তা অনেক পরের বিষয় আমিও তারপর ইন্টার ও আবার গোলশ কলার শিপাইয়া বাস করছি পরীক্ষা দেওয়ার বাদে বাড়ির কিস্তি আবার ওলা ধরছই মানুষে
/kaggle/input/regspeech12/test/test_sylhet_0545.wav,জ্বর হিতাবস থাকে প্রাইভেট ফরেস নেই
/kaggle/input/regspeech12/test/test_sylhet_0716.wav,আমরা রচনা দিলে এলে সব মনে হয় বুঝিলি বা আর কুয়ার গড়ন না তিনি এটা থাকাই লাগে না ম্যান্ডেটরিটা
/kaggle/input/regspeech12/test/test_sylhet_0531.wav,মেয়ার তো ফার্স্ট সেয়ার হওয়ার পরীক্ষা দিল
/kaggle/input/regspeech12/test/test_barishal_0002.wav,গরম লাগে ছুরি দিছে কি আছে না এতে গরম লাগে তো হাত চিকে নিয়ে যায় বাচ্চাদের ছুরি ফেলে না
/kaggle/input/regspeech12/test/test_narsingdi_0132.wav,শুরুবেলা তো আমি যেই কিউটা ছিলাম আমার মতো একটা বাচ্চা দেখলাম নিজেরে মনে আমার বাবা মায়ের কথা লাগিয়া তো কিউট একটা বাচ্চা হয় তোমরা দেখ শুরুবেলা তো সোর্টার মতো দেওয়া চাই না বোয়িং আমি নিজের শুরুবেলার ছবি আমিও দেখছি না ওকে কিন্তু শুরুবেলা যেটাই ওকি
/kaggle/input/regspeech12/test/test_rangpur_0035.wav,আমরা চাই মাঝে মধ্যে গেইলে এখন শুভের বাড়ি কি করবেন চা হয় তাই খাওয়া লাগে আগে তো খালি মাসে মাসে
/kaggle/input/regspeech12/test/test_rangpur_0124.wav,পাট শাক্তুর মনে করে এলা সার দিয়ে ইউরিয়া সার পটাস পস্সেট এগিলে দিয়ে শাক তোলে ফলে তুই আন্দিভে যাবু যাহারে পুড়িলেও তলাও পড়ে না বুঝিস এ হল অবস্থা
/kaggle/input/regspeech12/test/test_narsingdi_0060.wav,আর আমার দান্দার সিল্কের সময় কলাম যে খেলবে আমার ইংল্যান্ড মেমোরিয়াস্ট্র দর্দা খিলিয়াস্ত করে খিললে গেছি আমার জাগান হাতে মায়া ছাইয়া দেখতাম আবার অনেক সময় হুমওয়ার্ট দিয়া বইত যে হুমওয়ার্ট শেষ না করলে খেলতে দিতাম না
