path,transcription
/kaggle/input/regspeech12/test/test_sylhet_0070.wav,ইগুর তো বেস্ট তো আমি শাড়ি ফড়ছি ফড়িয়া দক্ষিণ সময় কলেজো গেছি আমার বইন সাতি মামুর বইন সে মামুর বইন বলতে আমার বেস্ট ফ্রেন্ড বলতে আমার কলেজ লাইফের তাই বেস্টফ্রেন্ড বলতে আমার তাই আমি আফা আমরা দরবোনি গেছি আর তাই আস্তা তার ইস্কুল
/kaggle/input/regspeech12/test/test_narsingdi_0002.wav,তারা তো ওই খারাপ খেলাইয়া আসে না তারা ভালো ওই লিগগুলাতে ভালো খেলে ডমেস্টিক এ ভালো খেলে পরেই তো ওদেরকে রাতিয়া কইরা ঢাকা হ হ কিন্তু কি করবি ক প্লেয়ার তো আরে একটা দিলো না প্লেয়ার তো অনেক
/kaggle/input/regspeech12/test/test_sylhet_0637.wav,তারা কিতা যৌথ নি তারা কিতা যৌথ এক লগে থাখোইন না থাখে এখলগে আর এখজন বড়ো জন আলা বাসা ফুয়া ডাক্তর আইচ্ছা
/kaggle/input/regspeech12/test/test_sylhet_0227.wav,তো খান্দি খান্দি ফরীক্কা দিলাম দিয়া অইয়া আইছি অখন তো শেষ আমার ফড়া ওউ বাড়ির রাস্তা এখটা বুচ্ছোনি বাড়িত ঢুকবার এখটা রাস্তা ছিনি ফরীক্কা দিয়া আইছি বাদে দেখি আমার বাইয়ের রাস্তায় গু মাটি ফালায় মাটি ফালাইয়া আয় গুরে বড়ো ফরের
/kaggle/input/regspeech12/test/test_tangail_0035.wav,লাইফত পাই দুই আজার সালে রিলিজ অয় কিন্তু আর এইডে ডিরেক্ট ছিলো এনদি এই ছবিডা যহন অস্কার পায় তারপরে আমি প্রথম এইডার নাম শুনছি যে লাইফত পাই প্রথমে ভাবছিলাম যে হেটা ম্যাথ মেটিক্সের কুনু টিরিট নিয়া হবো যেহেতু লাইফ পাই আছে আমি ভাবছি পাইয়ে
/kaggle/input/regspeech12/test/test_narail_0103.wav,আর বুকে টু উনার ধরা পরে গেলো মানে বুকে বলতি ভিতরে ইটা অপারেশন করিছো মানে অপারেশন করার কতা কয় নি না না তুমারটা আপন জায়গায় সেটা দর
/kaggle/input/regspeech12/test/test_rangpur_0053.wav,আর আগে টেকা আলা আসিল খা কায় যায় বাজার নিয়া হাটত গেসিল আর আচ্ছিল আসিল আল্লাহর কাছে হাজার শুকুর মোর কোনো জিনিসের ঠ্যাকা নাই হ সেইটায় বউ নোয়ায় পোয়া
/kaggle/input/regspeech12/test/test_sylhet_0067.wav,খতা আবার তে আমি নিজেরে বুঝি খরলাম আমার ফরে এক বছর খরলাম কিচ্ছু খা না সামনে দি তে ক্ষেত আমি বই আছে ফরে তারা মনো খরছে আমি বর্তি ওইতো না অনেখদিন গেছি কি আমি বর্তি ওইছি মার্চের দশ তারিখ নাই নাকি বুঝছিস আর বিয়া বিয়া ওই গেছে ফেব্রুয়ারীর বিশ তার
/kaggle/input/regspeech12/test/test_comilla_0032.wav,অর ফুরা ফ্যামিলি আমাকে খুব লাইট করতো তো ইখান থাকি আমি চব্বিশ বৎসর ছিলাম ইখানে আমার ওই দেশের চলা ফ্যারা খুব ভালো লাগছে কিন্তু অনেকে বিদেশ কষ্ট এই সেই কিন্তু আমার কাছে খুবই ভালো লাগছে
/kaggle/input/regspeech12/test/test_narail_0018.wav,তা আমরা তো খাই নাই তো আমরা খালি খালি সে কাডা আমরা খাই নাই যদি ওর মাইনসে তো টাকা ওদি সে দিয়ে তা তাইলে তোর মাইনসে তো ভাই খাইছি তোর মাইনসে তো বাইছে ওর হবে আমরা খাই না আমরা চলছে আমরা দশ হাজার টাকা পাইছে তা তো তোর মাও জানে সে সেইডা সবাই যে না আমি সবাইর পাঠাইছে তো মেলাদিন আগে আমরা সবাই জানে
