path,transcription
/kaggle/input/regspeech12/test/test_sylhet_0070.wav,ইগুত তো বেচ তো আমি স্টারি ফরছি খরি আর দক্ষিণ সময় কলেজোগেতে আমার বইনাসা তু মামুগ্রো বইন তরে মংগুরো বইন বলতে আমার ব্যাকফ্রেন্ড বলতেফারো কলেজ লাইফের তাই গেস্টারি ফরতেবা তাই আমি হাখর মলে দবিনদীতি আরতাই আস্তা তাই রিছি
/kaggle/input/regspeech12/test/test_narsingdi_0002.wav,তারহা তো ওই খারাপ খেলাইরা আসেনা তারা ভালো ওই লিগগুলাতে ভালো খেলে ডমেস্টিকে ভালো খেলে পরেই তো ওদেরকে জাতীয় কইরা ঢাকা হয় হ কিন্তু কী করবে ক প্লেয়ার তো আরে একটা বিলো না প্লেয়ার তো অনেক
/kaggle/input/regspeech12/test/test_sylhet_0637.wav,তারাও কিতা দেওতোনি তারাও কিতা যৌথনি একলগে থাখোইন নজনজন তাখোন এখলগে আরখজন বড়  আগা  ুতোয় ডাক্তর
/kaggle/input/regspeech12/test/test_sylhet_0227.wav,তোকান্দিখানদি ফরীক্কা দিলাম টিয়া অয়া আইতে অখন তো স্টোমোর করা ওউ বারিত রাস্তা একটা বুঝছোনি বাড়িত ঢুকবার একটা রাস্তা তী কনোত্তে ফরীক্কা দিয়া আইতেওইবাদে দেখি আমার বাইয়ের আ রাস্তায় মাটি নিলায়  মাটি পালাইয়া আইবা বড় খবে
/kaggle/input/regspeech12/test/test_tangail_0035.wav,লাইফত পাই দুই হআজার সালে রিলিজ ওয় কিন্তু আরএইডে ডিরেক্টর ছলো এনডি এই ছবিটা যহন অস্কার পায় তারপরে আমি প্রথম এইডার নাম শুনছি যে লাইফঅত পাই প্রথমেএভাব ছিলাম যেহেতা ম্যাথমেটিকদের কুনু থিরিটি নিয়া হবো যেহেতু লাইফ পাই আছে আমরা এটি প্রাইেট
/kaggle/input/regspeech12/test/test_narail_0103.wav,আর বুকে এট্টু উন্নর ধরা পরে গেলো মানে বুকে বলতি উ ভিতরে তা অপারেশন করিছো মনা অপারেশন করার কথা কয়ননি নানা টুকমারটায় আপন জায়গায় সেটা দর
/kaggle/input/regspeech12/test/test_rangpur_0053.wav,আর আগে টেকা হলা আছিল খা তাই যাই বাজার নিয়া হাটত গেসছিল আর আতছি হ  সে আছি আল্লাহর খাছে হাজা ঠুকুর মোর কোনো জিনিসের ঠযাকা নাই হ সেইটায় ম া কি টা কোর ঠ্যকা বাার তো  শুকুর া
/kaggle/input/regspeech12/test/test_sylhet_0067.wav,খতা খরতে আমি নিজেরে বুঝতে খরলাম আমার ফরে আফ খরলাম কিচ্ছুখা নাই সামনিতে তাাওক্কা তাআমি বইত আছি ফরে তারা মনে খরতে আমি বর্তি ওইতো না অনেখদিন গেছি গি আমি বর্তি ওইটি মারটের তশ তারিকে নাইওনিব আতার বিয়া ওইফা বিাা তর বিয় ওইয় গেছে ফেব্রুয়ারি ি
/kaggle/input/regspeech12/test/test_comilla_0032.wav,অর পুরা ফ্যামিলি আমাকে খুব লাইক করতো তো এখান তাকিা আম চব্বিশ বৎসর ছিলাম এইখানে আমার ওইদেশের চলা ফ্যারা খুব ভালো লাগছে কিন্তু অনেকে বিদেশ কষ্ট এই সেই কিন্তু আমার কাছে খুবই ভালো লাগছে
/kaggle/input/regspeech12/test/test_narail_0018.wav,তা আমরা তো খাই নাই তা আমরা খালি খালি সে কাডা আমরা খাই নায় যদি ওর মাইসে তো টাকা বদিসে দিয়ে তা তাইল তোর মাইনসে তো ভাই খাইছে তোর মাইনসে তো বাইছেওর অবে আমরা খাই নে আমরা খ ে  আমরা দশ হাজার টাকা পায়াইতে তা তো তোর মাও জানে সে সেডে সবাই যে না  সবাইরেকাকাটাইছে এয় তো ব ম্েলা দিন আগে আমরা কবায় যায়
/kaggle/input/regspeech12/test/test_sylhet_0047.wav,আরর কিলা টাইমওন যায় রকে ন কিতা খরোইন বাসাত আম্নে তো কলেজ যেত খরম যা রেগুলার গুলাযে যাওয়া লাগে ফাওয়াইবে আরকিন্তু ভাসাত দবইনা ফন্চি বাই গফ ফরি রান্না বারা খ তাইন বার খরোই া খরোইন কিতা কিতা খারোইন তা া ফা একটু পাখি তাএক বেটারি তুবিতি পেসটিকালাইন আমরারে
/kaggle/input/regspeech12/test/test_sylhet_0203.wav,ই হেগুডার মাই্যে ধান গাঁটা ধান গাঁটা খুব কষ্ট রাছিল ইটটু খয় উুটা লইয়া মুরু আ তেখে দানি আরা চাকরি গলা আনি আছিলাম তো খুলু আমার আতীলতা চাকরি তা এআখেলা যদি একে দাও দিতাম ি া নগু
/kaggle/input/regspeech12/test/test_chittagong_0166.wav,আজি রাজি তুফিরান ফর ইয়া সনিলাই ন যাই দি যেেনা বরা ন্ডা খার বিয়্ে দলুনরে তো আনে ন তিন বাইর দে না তারা ছত বইন খাদি তাাল্দা ফরে দেয় দল্লনর বিয়্যে নাম অইন্নি ত দলুনর বিয়ে আর কি
/kaggle/input/regspeech12/test/test_narail_0155.wav,ডাকতা দাাতে এখনতা াকতাদায় দে র যাত্ছাদেছে ক োং করে বুইডে দিয়ে যাবার ছা লাগে াা া দিতি যাবে তাই
/kaggle/input/regspeech12/test/test_habiganj_0060.wav,কিন্তু তুডু দুই এডে ওত খষ্ট অয় তান ইতারে একটা জিল্লে ধরতা তিবো আর আমার ছুডু বাইডে তো আমারে
/kaggle/input/regspeech12/test/test_habiganj_0033.wav,আচ্ছা তোমার রান্লা টননা নিয়া এখন বওছান কিতা খরতে ফারো
/kaggle/input/regspeech12/test/test_rangpur_0065.wav,ওর ওইি া হ্যাঁ টিপো হুইনতে যাবে  কথা ক মে ওই ক্ষন পরের আপ  ি বন দায় কি করে না ইতা কত তেয় টিপো
/kaggle/input/regspeech12/test/test_sylhet_0113.wav,আমার তাখালায় জামাইও আতি তালো গি পবায় মানুষ থাকতিও তারা দো আল্লা যাইবা দিনো বল আছেন না তা কষ্ট দাখলে আমরা আস্তে একটু করতে হবেন বুচ্ছি ওয় আল্লায় দিপানে কষ্ট করতাছে কল পাইভা
/kaggle/input/regspeech12/test/test_kishoreganj_0185.wav,এলো ফলা বানাইবা অলোতেলো কর বাা এলো লো মুই  এইটা বাফো এলু কতো তিল তুল এলোওতল দিয়া হলু হুম
/kaggle/input/regspeech12/test/test_sylhet_0248.wav,না বিয়া তখন খরিয়া কিতা ওইলো হুম ওউ তারারে এখটা জবাব দেওয়াতো অখন দায়িত্বের মাঝে ফরি গেছে বাইরা মরমান রক্ষা গরা ওউ খরতাম ফড়তে ফড়তে আমার টার্গেট আছিল কে যাইও মিনিমাম  ক্লাসটা যেনো তাখে
/kaggle/input/regspeech12/test/test_sylhet_0482.wav,বালো টোর রাখে ইখানে আওয়ার খারণ মানতো রাখি আমার আমি একটু ট্টুত্তমান বাচ্ছানা মা ে ছো আমার খাা ওইছলো ম দেবি ওওয়ার হরে গলাশিখমচ্চা বেশি ওইসে ও খারণে একটু জাগা ফালটা নে নিজের বাসাত থাকি এখটু দূরেই থাখা তারফরেও তো বুঝরাম না কিচ্ছুরে বাবা নিজের তো ভবিষ্যত দুইয়রল খরার লাইগগা আইছি একটু নিজের বাসাও রাইখলা কিন্তু বাড়া থাখা আমি ক্যান বুঝরাইনা আমার সময় ঠর লাগবো  খয়তন বাচ্চা হে এখজনও নাই
/kaggle/input/regspeech12/test/test_sylhet_0236.wav,তরে তো আমরা বিয়া দিলাইতাম তোর কিতা ইচ্ছা তো আমি খইলাম রেজাল্ট তো হর্তি অখন আফনারার ইচ্ছা আফনারা দিলাইলে তো দিলাইবা কিনতু আমি ফড়তাম মাখরার ইচ্ছা আছে
/kaggle/input/regspeech12/test/test_sylhet_0391.wav,সিলেটি না িডকতে আমাতো না আইচ্ছা তো তাতা নেও আইওো  ম হ ওতো ওই আব্রা যা খত তেভাড়া টিয়া নিয় আন টি
/kaggle/input/regspeech12/test/test_narail_0136.wav,আমার মার দুই বছরে ইন্ডিয়া দেয় বেড়াবে আর দুই বছর আমি যাবু দুই বছর যাই আমি কাগজপত্ররেতারপরে মারে নিয়ে যাবু কোন দেশে যাবো ইটালি ইউরোপে যে কোনো দেশে ঢুকার ততাস ইতালি জার্মানি
/kaggle/input/regspeech12/test/test_sylhet_0097.wav,ইফতা লই  থাইকটি হয় ছাতুর টিনি সবজিনি কিরখম ইডা কিু আর সবজি আইরজি সবজি অইছতে ধর আমার মায়েটা তো হাইবো হারি ডানে মাত তোইতা মা খাম খরএমর মায় তো খ আ বিি খাম
