path,transcription
/kaggle/input/regspeech12/test/test_sylhet_0070.wav,এগুত্ব ব্যসত আমি সাড়ি পরছে পরিয়ার দক্ষিণ সোময়া কলে যোগে চামর বইল গ্র মঙগ্রবন বলতে আমার গযেস্ট রেন্ডোগলালাইভারকই ব্য্তাই আমি নুকেছি তাই আস্তাতারস্ক
/kaggle/input/regspeech12/test/test_narsingdi_0002.wav,ইখারাপ ফেলাই আসে না তারা ভাত ওই লিগগুলোতে ভালো ফেলে ডমেস্টিকে ভালো ফেলে পরেই তোওদেরকে জাতীয়া বরে ডাকা হয় িনতুপ্লেয়ার ত়র একটা বিধানা ব্লেয়ারত অনেক
/kaggle/input/regspeech12/test/test_sylhet_0637.wav,তারাহকে তাদে এখষনই তারাকিতা যৌথ নিয়াপ্লগে তাহনিি
/kaggle/input/regspeech12/test/test_sylhet_0227.wav,খান্দিঙান্দি পরীক্ষা দিলাম টিয়াউইয়ার আইতি অখনত শেয়েসামার পড়া ও বাড়ির রাস্তা একটাউচছুনে বাড়ির ডুকবার একটা রাস্তার সিকলাত্রি পরীক্ষাদিয় আইসিবাদে দেখি আমার পায়েনা রাস্তায় গুট মাটি নি় মামাটি ফেলাইয়া আগবে বলত
/kaggle/input/regspeech12/test/test_tangail_0035.wav,াই ২০০ সালে রিলি জয়কিন গারেরএ ডিমেকটর ছিল অ্যানডি এই ছবিদা যখন অস্কার পায় তার পরই আমি প্রথম এদের নাম শুনেছে ছ লাইফো্ড পাই প্রথমে ভাবছিলাম যো ম্যাটমোটিক্সের কোনো থিরুটিগনেয়া হব যেহেতু লাইফ পায় আছে অ্যামবাব পায়এর
/kaggle/input/regspeech12/test/test_narail_0103.wav,করে েমানের বুকে বলতি ভিতরে পারশন করিছো নপারেশন করার কথা কহনি াটুমারটা এবন জায়গায় সেটাদল
/kaggle/input/regspeech12/test/test_rangpur_0053.wav,আগে টাকা আলাসিাই ঝাইবাগামে হাট যেসিলা রাশ্ি ভটরাতাআল্লাহর কাছে হাজার শুকুর মোর কোনো দিঘে ঠেকানে বলওয়া় েরির্জু আনাইছলি
/kaggle/input/regspeech12/test/test_sylhet_0067.wav,কথামারতে আমি নিজেরে বুঝলে অলামামার ফরা পোস খললাম ্না় সঙগিে তবেকে  পরে তারামল হোসেম বর্তিত ননেউদিন গেশিকি অমেম্বর ৩০ মার্চের ১০ তারিখেবিআয় গেছে ফেব্রুয়ারি ে
/kaggle/input/regspeech12/test/test_comilla_0032.wav,অর পুরা ফ্িমিলি আমাকে খুব লাইক করত এখান থেকে আমি ২৪ বসর ছিলাম এইখানে আমার উই দেশের চলাফেরা খুব ভালো লাগছে কিন্তু অনেকে বিদেশ কষ্ট এইসেই কিন্তু আমার কাছে খুবই ভালো লাগছে
/kaggle/input/regspeech12/test/test_narail_0018.wav,াআমরাতো খাইনেতা আমরা খালে খালিশে রা খাই না যদিওর মাসুতে তাটা বদেশে দিয়ে াাতা মাসে তোবাই খাইতা মাসে তোবাইচু রবে আমরা থাই ারা া১০ হা০ার টাকা পাইছে তাততরমা ও জানে সেটা সবাই জেনা সবারাপাইছি এতোসব মেলাদে নাগা আমরা সবাই জা
